7.12 ,11.11 ,89.00 
7.10 ,11.08 ,89.00 
7.02 ,10.89 ,87.00 
7.01 ,10.86 ,87.00 
7.00 ,10.84 ,87.00 
9.22 ,13.66 ,89.00 
9.18 ,13.69 ,89.00 
9.38 ,13.93 ,89.00 
9.54 ,14.12 ,89.00 
9.71 ,14.32 ,89.00 
9.87 ,14.51 ,89.00 
9.86 ,14.56 ,89.00 
10.02 ,14.69 ,89.00 
10.00 ,14.76 ,89.00 
9.99 ,14.78 ,89.00 
9.96 ,14.84 ,89.00 
10.17 ,14.87 ,89.00 
10.15 ,14.94 ,89.00 
10.33 ,15.13 ,89.00 
10.28 ,15.16 ,89.00 
10.45 ,15.31 ,89.00 
10.46 ,15.34 ,89.00 
9.62 ,14.17 ,91.00 
10.12 ,14.72 ,91.00 
10.06 ,14.75 ,91.00 
10.15 ,14.97 ,91.00 
10.38 ,15.15 ,91.00 
10.62 ,15.31 ,91.00 
8.09 ,13.13 ,107.00 
6.32 ,10.18 ,97.00 
5.89 ,9.78 ,101.00 
6.91 ,11.10 ,83.00 
6.97 ,11.42 ,102.00 
7.34 ,11.51 ,99.00 
7.01 ,11.02 ,115.00 
7.96 ,13.04 ,106.00 
