Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,Ad,Zd,Ac_used,Zc_used,Qc_QiUDL_MeV,Q_source,coeff_set_QiUDL,chi_prime,rho_prime,log10T_Qi2009_UDL_s,T_Qi2009_UDL_s,Talpha_exp_s,HF_Qi2009_UDL,log10HF_Qi2009_UDL
273Ds_a,273,110,10.858,0.00576,1.0,0,269,108,4,2,11.019457249070632,Ealpha_MeV converted by A/(A-4),alpha,129.180946158481,82.74715116314819,-3.949142253010667,0.00011242366703102127,0.00576,51.23476356993971,1.7095647364338789
273Ds_a_upper,273,110,10.858,0.03339,1.0,0,269,108,4,2,11.019457249070632,Ealpha_MeV converted by A/(A-4),alpha,129.180946158481,82.74715116314819,-3.949142253010667,0.00011242366703102127,0.03339,297.00152006949423,2.4727586720650376
273Ds_a_lower,273,110,10.858,0.00313,1.0,0,269,108,4,2,11.019457249070632,Ealpha_MeV converted by A/(A-4),alpha,129.180946158481,82.74715116314819,-3.949142253010667,0.00011242366703102127,0.00313,27.84111284269293,1.4446865905571153
273Ds_b,273,110,10.894,0.017,1.0,0,269,108,4,2,11.055992565055762,Ealpha_MeV converted by A/(A-4),alpha,128.9673257063164,82.74715116314819,-4.0359789668155805,9.204941508468844e-05,0.017,184.68341145198426,2.2664278881938547
273Ds_b_upper,273,110,10.894,0.049,1.0,0,269,108,4,2,11.055992565055762,Ealpha_MeV converted by A/(A-4),alpha,128.9673257063164,82.74715116314819,-4.0359789668155805,9.204941508468844e-05,0.049,532.322774185131,2.7261750468440944
273Ds_b_lower,273,110,10.894,0.01,1.0,0,269,108,4,2,11.055992565055762,Ealpha_MeV converted by A/(A-4),alpha,128.9673257063164,82.74715116314819,-4.0359789668155805,9.204941508468844e-05,0.01,108.63730085410839,2.0359789668155805
273Ds_c,273,110,11.165,0.00016,1.0,0,269,108,4,2,11.331022304832713,Ealpha_MeV converted by A/(A-4),alpha,127.39254564620364,82.74715116314819,-4.67612706125141,2.1080113202171325e-05,0.00016,7.590092067604241,0.8802470439073351
273Ds_c_upper,273,110,11.165,0.00024,1.0,0,269,108,4,2,11.331022304832713,Ealpha_MeV converted by A/(A-4),alpha,127.39254564620364,82.74715116314819,-4.67612706125141,2.1080113202171325e-05,0.00024,11.38513810140636,1.0563383029630162
273Ds_c_lower,273,110,11.165,0.00011,1.0,0,269,108,4,2,11.331022304832713,Ealpha_MeV converted by A/(A-4),alpha,127.39254564620364,82.74715116314819,-4.67612706125141,2.1080113202171325e-05,0.00011,5.218188296477916,0.7175197464096353
269Hs_a,269,108,9.13,9.6,1.0,0,265,106,4,2,9.267811320754719,Ealpha_MeV converted by A/(A-4),alpha,138.23692409153008,81.80430213380357,0.1385749933242515,1.3758623716288265,9.6,6.977442074118908,0.8436962397153169
269Hs_a_upper,269,108,9.13,14.05,1.0,0,265,106,4,2,9.267811320754719,Ealpha_MeV converted by A/(A-4),alpha,138.23692409153008,81.80430213380357,0.1385749933242515,1.3758623716288265,14.05,10.211777202226111,1.0091013309168473
269Hs_a_lower,269,108,9.13,6.92,1.0,0,265,106,4,2,9.267811320754719,Ealpha_MeV converted by A/(A-4),alpha,138.23692409153008,81.80430213380357,0.1385749933242515,1.3758623716288265,6.92,5.02957282842738,0.7015311011325063
269Hs_b,269,108,8.95,6.49,1.0,0,265,106,4,2,9.085094339622641,Ealpha_MeV converted by A/(A-4),alpha,139.62009618853796,81.80430213380357,0.7008344507579558,5.021511374316386,6.49,1.2924395697268594,0.11141024604241348
269Hs_b_upper,269,108,8.95,37.58,1.0,0,265,106,4,2,9.085094339622641,Ealpha_MeV converted by A/(A-4),alpha,139.62009618853796,81.80430213380357,0.7008344507579558,5.021511374316386,37.58,7.483802624088655,0.8741223250065511
269Hs_b_lower,269,108,8.95,3.52,1.0,0,265,106,4,2,9.085094339622641,Ealpha_MeV converted by A/(A-4),alpha,139.62009618853796,81.80430213380357,0.7008344507579558,5.021511374316386,3.52,0.7009841734111779,-0.15429178727982476
