Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Qalpha_VS_MeV,Qalpha_source,log10T_VS_s,T_VS_s,Talpha_exp_s,log10Talpha_exp_s,Delta_log10_exp_minus_VS,HF_VS
273Ds_GSI_cal,273,110,10.929,0.0289,1.0,0,163.0,11.091513011152417,Ealpha_MeV converted by A/(A-4),-3.861593111815459,0.00013753299108487408,0.0289,-1.5391021572434522,2.322490954572007,210.13140027010166
257Rf8286,257,104,8.286,4.37,0.022,0,153.0,8.41700395256917,Ealpha_MeV converted by A/(A-4),1.753008818017495,56.62507862109232,198.63636363636365,2.2980587561482158,0.5450499381307208,3.507922081054267
257Rf8965,257,104,8.965,4.37,0.72,0,153.0,9.106739130434782,Ealpha_MeV converted by A/(A-4),-0.43579316280203173,0.3666121358632592,6.069444444444445,0.7831489405391534,1.2189421033411851,16.555492442040315
257Rf9023,257,104,9.023,4.37,0.058,0,153.0,9.165656126482213,Ealpha_MeV converted by A/(A-4),-0.6112190937747819,0.24478280449694953,75.34482758620689,1.8770534434074846,2.4882725371822665,307.80277945196036
257Rf8497,257,104,8.497,6.12,0.06,0,153.0,8.631339920948616,Ealpha_MeV converted by A/(A-4),1.0448050018117065,11.086769076459955,102.0,2.0086001717619175,0.963795169950211,9.20015554545752
257Rf8785,257,104,8.785,6.12,0.4,0,153.0,8.923893280632411,Ealpha_MeV converted by A/(A-4),0.11965070511257281,1.3171969156986247,15.299999999999999,1.1846914308175989,1.065040725705026,11.61557533095579
259Sg9040,259,106,9.04,0.402,0.11,0,153.0,9.181803921568626,Ealpha_MeV converted by A/(A-4),0.010675630620081478,1.0248861650387204,3.6545454545454548,0.562833367926245,0.5521577373061636,3.5658062126415624
259Sg9614,259,106,9.614,0.402,0.89,0,153.0,9.764807843137255,Ealpha_MeV converted by A/(A-4),-1.6701103302018971,0.021374190205960143,0.451685393258427,-0.3451639535604427,1.3249463766414544,21.13228098496455
259Sg9200,259,106,9.2,0.226,0.43,0,153.0,9.344313725490196,Ealpha_MeV converted by A/(A-4),-0.4736137815129844,0.3360363188152603,0.5255813953488372,-0.2793600164321856,0.19425376508079878,1.564061281238417
259Sg9550,259,106,9.55,0.226,0.54,0,153.0,9.699803921568629,Ealpha_MeV converted by A/(A-4),-1.4902418297889177,0.03234135192450392,0.4185185185185185,-0.3782853206755676,1.11195650911335,12.940662452685583
259Sg9614,259,106,9.614,0.226,0.03,0,153.0,9.764807843137255,Ealpha_MeV converted by A/(A-4),-1.6701103302018971,0.021374190205960143,7.533333333333334,0.8769871844277385,2.5470975146296357,352.44999977742697
