runnum, date, Tsatrt, Tsustain/s, Teff/10s, ACCT_avg, beam_duty_ratio, target_duty_ratio, BeamDose   , Counts, crossSection/ub, TargetThickness(mg/cm2), DetectEff, BranchingRatio, Target, TranEff, ACCT_window_start  , ACCT_window_end_exclusive, ACCT_sample_count, ACCT_raw_mean, ACCT_sample_variance, ACCT_sample_std, ACCT_rel_std_pct, ACCT_mean_sem, ACCT_rel_sem_pct, ACCT_avg_minus_raw_mean, Counts_stat_rel_unc_pct, ACCT_avg_rel_unc_pct, crossSection_rel_unc_pct, TargetThickness_rel_unc_pct, TranEff_total_rel_unc_pct, TranEff_abs_unc_pp, TranEff_lower_pct, TranEff_upper_pct
    52, 5.11, 13:16 ,        600,       60, 5.84242 ,           0.975,               0.9, 9.60061E+14,  87712,             545,                     0.5,      0.55,          0.985,    169, 17.83% , 2026-05-11 13:16:00, 2026-05-11 13:26:00      ,              2253,  5.8424201235,         0.1417244403,    0.3764630663,         6.443615,  0.0079312526,         0.135753, -0.0000001235          ,                0.337653,             6.443615,                 1.200000,                   10.000000,                 11.961362,             2.1327, 15.6973          ,           19.9627
    53, 5.11, 13:34 ,        600,       60, 5.792027,           0.975,               0.9, 9.5178E+14 ,  86229,             545,                     0.5,      0.55,          0.985,    169, 17.68% , 2026-05-11 13:34:00, 2026-05-11 13:44:00      ,              2170,  5.7920274510,         0.1387717578,    0.3725208153,         6.431613,  0.0079968818,         0.138067, -0.0000004510          ,                0.340544,             6.431613,                 1.200000,                   10.000000,                 11.954983,             2.1136, 15.5664          ,           19.7936
    54, 5.11, 13:48 ,        600,       60, 5.698355,           0.975,               0.9, 9.36387E+14,  89390,             545,                     0.5,      0.55,          0.985,    169, 18.63% , 2026-05-11 13:48:00, 2026-05-11 13:58:00      ,              2200,  5.6983549472,         0.1398719403,    0.3739945726,         6.563202,  0.0079735911,         0.139928, 0.0000000528           ,                0.334469,             6.563202,                 1.200000,                   10.000000,                 12.026117,             2.2405, 16.3895          ,           20.8705
    55, 5.11, 14:03 ,        600,       60, 5.749047,           0.975,               0.9, 9.44717E+14,  80099,             545,                     0.5,      0.55,          0.985,    169, 16.54% , 2026-05-11 14:03:00, 2026-05-11 14:13:00      ,              2317,  5.7490467557,         0.1412333469,    0.3758102539,         6.536914,  0.0078073852,         0.135803, 0.0000002443           ,                0.353335,             6.536914,                 1.200000,                   10.000000,                 12.012331,             1.9868, 14.5532          ,           18.5268
    56, 5.11, 14:17 ,        600,       60, 5.783144,           0.975,               0.9, 9.5032E+14 ,  82837,             545,                     0.5,      0.55,          0.985,    169, 17.01% , 2026-05-11 14:17:00, 2026-05-11 14:27:00      ,              2313,  5.7831435658,         0.1466438783,    0.3829410898,         6.621677,  0.0079624030,         0.137683, 0.0000004342           ,                0.347446,             6.621677,                 1.200000,                   10.000000,                 12.058496,             2.0512, 14.9588          ,           19.0612
    57, 5.11, 14:33 ,        600,       60, 5.733601,           0.975,               0.9, 9.42179E+14,  82290,             545,                     0.5,      0.55,          0.985,    169, 17.04% , 2026-05-11 14:33:00, 2026-05-11 14:43:00      ,              2311,  5.7336012894,         0.1494484609,    0.3865856450,         6.742458,  0.0080416608,         0.140255, -0.0000002894          ,                0.348599,             6.742458,                 1.200000,                   10.000000,                 12.125274,             2.0661, 14.9739          ,           19.1061
    58, 5.11, 14:46 ,        600,       60, 5.716467,           0.975,               0.9, 9.39363E+14,  75370,             545,                     0.5,      0.55,          0.985,    169, 15.66% , 2026-05-11 14:46:00, 2026-05-11 14:56:00      ,              2318,  5.7164671904,         0.1700285675,    0.4123452043,         7.213287,  0.0085645437,         0.149822, -0.0000001904          ,                0.364251,             7.213287,                 1.200000,                   10.000000,                 12.393716,             1.9409, 13.7191          ,           17.6009
    59, 5.11, 14:58 ,        600,       60, 5.799514,           0.975,               0.9, 9.5301E+14 ,  63309,             545,                     0.5,      0.55,          0.985,    169, 12.96% , 2026-05-11 14:58:00, 2026-05-11 15:08:00      ,              2317,  5.7995135943,         0.1578178026,    0.3972628886,         6.849935,  0.0082530596,         0.142306, 0.0000004057           ,                0.397436,             6.849935,                 1.200000,                   10.000000,                 12.186860,             1.5794, 11.3806          ,           14.5394
    60, 5.11, 15:12 ,        600,       60, 5.744516,           0.975,               0.9, 9.43972E+14,  60972,             545,                     0.5,      0.55,          0.985,    169, 12.60% , 2026-05-11 15:12:00, 2026-05-11 15:22:00      ,              2316,  5.7445156100,         0.1501695948,    0.3875172187,         6.745864,  0.0080523330,         0.140174, 0.0000003900           ,                0.404981,             6.745864,                 1.200000,                   10.000000,                 12.128920,             1.5282, 11.0718          ,           14.1282
    61, 5.11, 15:30 ,        600,       60, 5.752653,           0.975,               0.9, 9.4531E+14 ,  85735,             545,                     0.5,      0.55,          0.985,    169, 17.70% , 2026-05-11 15:30:00, 2026-05-11 15:40:00      ,              2318,  5.7526527666,         0.1539356725,    0.3923463680,         6.820269,  0.0081491614,         0.141659, 0.0000002334           ,                0.341524,             6.820269,                 1.200000,                   10.000000,                 12.168513,             2.1538, 15.5462          ,           19.8538
    62, 5.11, 15:52 ,        600,       60, 5.724659,           0.975,               0.9, 9.40709E+14,  70465,             545,                     0.5,      0.55,          0.985,    169, 14.62% , 2026-05-11 15:52:00, 2026-05-11 16:02:00      ,              2318,  5.7246592880,         0.1491320242,    0.3861761570,         6.745837,  0.0080210041,         0.140113, -0.0000002880          ,                0.376715,             6.745837,                 1.200000,                   10.000000,                 12.127993,             1.7731, 12.8469          ,           16.3931
