Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad_calc,Zd_calc,Qalpha_calc_MeV,x_calc,Ks_calc,y_calc,z_calc,N_interval,Z_interval,F_yz_calc,log10_T12a_Poenaru_s,T12a_Poenaru_s,energy_source,Ealpha_used_MeV,param_set,B1,B2,B3,B4,B5,B6,Texp_s_used,Br_alpha_used,T12a_exp_s,HF_Poenaru,log10_HF_Poenaru
268Hs,268,108,9.47937,0.4,1.0,0,160,264,106,9.622996818181818,0.30897535624087785,44.552969150862154,0.5689655172413793,0.78125,"(127,185]","(83,115]",1.01973854904759,-0.7149680151682922,0.19276668763814359,Ealpha,9.47937,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.4,1.0,0.4,2.075047327424483,0.3170280064962546
270Hs,270,108,8.93563,7.6,1.0,0,162,266,106,9.07000037593985,0.29180777995870577,48.2091879977045,0.603448275862069,0.78125,"(127,185]","(83,115]",1.021347174010432,0.9379297720670365,8.668216943362298,Ealpha,8.93563,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,7.6,1.0,7.6,0.8767662426607484,-0.05711617978624518
272Hs,272,108,9.62829,0.16,1.0,0,164,268,106,9.77199582089552,0.3150233643259639,43.45225028037609,0.6379310344827587,0.78125,"(127,185]","(83,115]",1.0230221390446175,-1.1404750214070063,0.07236440217123218,Ealpha,9.62829,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.16,1.0,0.16,2.2110318775438813,0.3445950040629311
270Ds,270,110,10.9523,0.0002,1.0,0,160,266,108,11.116996240601502,0.35104204028519004,37.35801296331083,0.5689655172413793,0.84375,"(127,185]","(83,115]",1.020599717959228,-3.887403486072685,0.00012959746719519146,Ealpha,10.9523,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.0002,1.0,0.0002,1.5432400364643912,0.18843348173666633
276Ds,276,110,10.746,0.00015,0.43,0,166,272,108,10.904029411764707,0.3463781068709262,38.25073252577946,0.6724137931034483,0.84375,"(127,185]","(83,115]",1.0256050031479917,-3.4085655217353263,0.00039033228887823374,Ealpha,10.746,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.00015,0.43,0.00034883720930232553,0.893692936100265,-0.048811674788579
284Cn,284,112,9.32676,0.098,0.02,0,172,280,110,9.459999428571429,0.2973441412554034,48.23485752794375,0.7758620689655172,0.90625,"(127,185]","(83,115]",1.0320056027503994,1.1725900656458172,14.87955920057622,Ealpha,9.32676,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.098,0.02,4.9,0.32931083064680067,-0.48239398561730357
284Fl,284,114,10.57,0.0025,0.24,0,170,280,112,10.721,0.33096207754972323,41.863826172728686,0.7413793103448276,0.96875,"(127,185]","(83,115]",1.0308594458036844,-1.703708660171344,0.019782963049758334,Ealpha,10.57,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.0025,0.24,0.010416666666666668,0.5265473448272915,-0.27856257286822433
286Fl,286,114,10.1905,105.0,0.4,0,172,282,112,10.33504609929078,0.31965736546925677,44.06520443910276,0.7758620689655172,0.96875,"(127,185]","(83,115]",1.0327801612094512,-0.6814019042276271,0.20825627485922593,Ealpha,10.1905,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,105.0,0.4,262.5,1260.4662220979462,3.100531211969603
288Fl,288,114,9.93606,0.64,1.0,0,174,284,112,10.076004507042253,0.31223711722081104,45.59795265545648,0.8103448275862069,0.96875,"(127,185]","(83,115]",1.034767216686562,0.04543230339428561,1.1102794545970895,Ealpha,9.93606,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.64,1.0,0.64,0.5764314536760029,-0.23925232941039842
290Fl,290,114,9.724,0.46,1.0,0,176,286,112,9.86,0.30611989825068814,46.91625443155684,0.8448275862068966,0.96875,"(127,185]","(83,115]",1.0368206122350163,0.6797077063107437,4.783080677675268,Ealpha,9.724,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.46,1.0,0.46,0.09617232720890982,-1.0169498746291696
288Lv,288,116,11.0839,0.002,1.0,0,172,284,114,11.240011267605635,0.3421969177580571,40.27279360572439,0.7758620689655172,0.16666666666666666,"(127,185]","(115,121]",1.0210407960760997,-2.5877391398426752,0.0025838116981269674,Ealpha,11.0839,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.002,1.0,0.002,0.7740502148240219,-0.11123086449334356
290Lv,290,116,10.8483,0.0083,1.0,0,174,286,114,11.000024475524476,0.3355223602351294,41.51672803784452,0.8103448275862069,0.16666666666666666,"(127,185]","(115,121]",1.0231117384066588,-1.9987982331702625,0.010027710025373067,Ealpha,10.8483,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.0083,1.0,0.0083,0.8277064234006118,-0.08212367445366357
292Lv,292,116,10.6432,0.013,1.0,0,176,288,114,10.791022222222223,0.3297642242196554,42.629908660455285,0.8448275862068966,0.16666666666666666,"(127,185]","(115,121]",1.0252490208085614,-1.4646071975046873,0.03430779469426499,Ealpha,10.6432,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.013,1.0,0.013,0.3789226359738338,-0.421449450188476
294Og,294,118,11.7085,0.00058,1.0,0,176,290,116,11.869996551724139,0.35714639839414475,38.158143497817484,0.8448275862068966,0.5,"(127,185]","(115,121]",1.0305319001189062,-3.368158124161269,0.0004283925167099659,Ealpha,11.7085,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.00058,1.0,0.00058,1.3538985331825408,0.13158611772420628
