Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l
273Ds_a,273,110,10.858,0.030,1.0,0
273Ds_b,273,110,10.929,0.030,1.0,0
273Ds_c,273,110,11.165,0.00018,1.0,0
269Hs_a,269,108,9.13,8.5,1.0,0
269Hs_b,269,108,8.95,8.5,1.0,0
