============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 keV) ==> Si_Top    +Si_Bottom (  600 um) =============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  719  1 .1000000E+01 -  5683605E-02  .2709E+05  .4341E+05  -.7409115  .3566725  .5690650
B  723  1 .1000000E+01 -  4064462E-02 -.2379E+05 -.1209E+05  -.8340613 -.4908986 -.2517150
B  726  1 .1000000E+01 -  5497128E-02  .1075E+06  .2832E+05  -.4436941  .8666808  .2280348
B  730  1 .1000000E+01 -  5832376E-02 -.2526E+05 -.4108E+05  -.7709203 -.3336271 -.5425633
B  744  1 .1000000E+01 -  3154404E-02 -.7214E+04 -.5871E+04  -.9599020 -.2177431 -.1765677
B  750  1 .1000000E+01 -  7546008E-03 -.3657E+04  .1996E+04  -.8671631 -.4344293  .2435147
B  758  1 .1000000E+01 -  5527129E-03  .6222E+04  .5247E+04  -.5661077  .6333404  .5276381
B  780  1 .1000000E+01 -  4978665E-02 -.3330E+05  .1026E+04  -.8315868 -.5550984  .0181391
B  790  1 .1000000E+01 -  5206021E-02  .4044E+05 -.6835E+05  -.5483758  .4260760 -.7195438
B  795  1 .1000000E+01 -  4365846E-03  .1425E+04  .9310E+04  -.4230263  .1555343  .8926689
B  798  1 .1000000E+01 -  2956658E-02 -.6607E+04 -.4753E+05  -.5253293 -.1179082 -.8426902
B  810  1 .1000000E+01 -  1739459E-02  .1514E+05  .1842E+05  -.5903979  .5124145  .6235877
B  811  1 .1000000E+01 -  1763507E-02 -.2203E+04  .2684E+04  -.9822516 -.1138003  .1491018
B  822  1 .1000000E+01 -  3862648E-02  .7222E+04 -.1711E+05  -.9009192  .1676621 -.4002924
B  843  1 .6190729E+03 -  2912464E-04 -.1196E+03  .3075E+03  -.7230556 -.2668644  .6371609
B  855  1 .1000000E+01 -  1591181E-02  .1384E+05  .2259E+05  -.5161311  .4437147  .7326158
B  857  1 .1000000E+01 -  2768580E-02 -.1866E+05 -.3078E+04  -.8263331 -.5556592 -.0917415
B  859  1 .1000000E+01 -  1098870E-02  .2064E+05 -.1374E+05  -.4056658  .7585828 -.5098895
B  863  1 .1000000E+01 -  3188611E-02  .4584E+05 -.5505E+04  -.5686309  .8167236 -.0980895
B  876  1 .1000000E+01 -  3524411E-02  .7495E+04 -.8944E+03  -.9778763  .2077088 -.0247977
B  888  1 .1000000E+01 -  3189506E-02 -.3376E+05  .7879E+05  -.3490218 -.3706453  .8607008
B  889  1 .1000000E+01 -  1648219E-02 -.2689E+05 -.4992E+04  -.5196104 -.8406017 -.1529504
B  890  1 .1000000E+01 -  4490335E-02 -.5761E+05  .4308E+05  -.5300697 -.6791105  .5077746
B  902  1 .1000000E+01 -  4220731E-02 -.3083E+04 -.2789E+05  -.8323829 -.0628717 -.5506232
B  904  1 .1000000E+01 -  2295949E-02 -.1120E+05 -.3778E+04  -.8897803 -.4318387 -.1476694
B  906  1 .1000000E+01 -  1020818E-02 -.6884E+04 -.1504E+05  -.5296220 -.3593262 -.7683653
B  936  1 .1000000E+01 -  4892271E-02  .2590E+05 -.2376E+04  -.8836063  .4661497 -.0440958
B  939  1 .1000000E+01 -  9090830E-03 -.1278E+04 -.3957E+04  -.9042559 -.1321085 -.4060403
B  942  1 .1000000E+01 -  4359531E-02 -.8584E+05  .3858E+05  -.4206258 -.8275505  .3717985
B  951  1 .1000000E+01 -  1325461E-02  .5339E+04 -.2733E+04  -.9118054  .3654899 -.1871576
B  954  1 .1000000E+01 -  6033460E-03 -.2833E+05 -.1604E+05  -.1823127 -.8555729 -.4845173
B  972  1 .1000000E+01 -  3615626E-02  .2832E+05 -.4637E+04  -.7830004  .6139712 -.0997484
