# ch  b  k  FWHM_keV  chi2ndf
145 139.852 2.9648 55.772 77.7356
146 125.553 2.87567 49.192 66.5242
147 113.949 2.92645 53.7987 2.09011
148 84.4691 2.96567 96.8021 90.0452
149 108.307 2.98971 39.2067 7.37571
150 115.455 2.92303 78.5557 90.9572
151 129.689 2.92873 51.2081 60.9352
152 128.446 2.9581 56.2276 51.474
153 104.049 2.92834 29.4561 7.04758
154 138.479 2.95601 51.3275 58.8828
155 98.1892 2.98017 46.6008 3.90008
156 146.36 2.9835 51.7761 43.2348
157 91.81 2.96711 28.4437 4.84259
158 89.8616 2.97218 32.5502 3.88157
159 85.2249 2.97137 34.995 7.95977
160 1.44411 2.58639 32.0114 3.12259
161 2.46379 2.59715 37.0262 1.98587
162 3.55666 2.62557 29.6952 4.40263
163 29.4898 2.62267 55.5519 67.3736
164 4.09959 2.64761 31.2195 2.74486
165 2.94094 2.64001 33.5964 3.23681
166 16.2779 2.62702 54.8986 3.79164
167 5.88034 2.58974 30.2796 1.19511
168 -1.84569 2.57168 97.5364 92.6316
169 16.9269 2.56933 55.9979 74.4511
170 16.2326 2.6074 46.4072 2.31447
171 34.7364 2.53969 51.0813 67.4104
172 13.5707 2.577 78.4715 77.7387
173 0 1 0 -1
174 -1.26699 2.6275 33.4596 3.07061
175 8.35722 2.56365 57.0198 88.8192
176 0 1 0 -1
177 0 1 0 -1
178 3181.84 4.3353 -1 490.468
179 0 1 0 -1
180 0 1 0 -1
181 3204.11 4.36241 -1 496.801
182 0 1 0 -1
183 2935.03 4.85006 -1 420.776
184 0 1 0 -1
185 0 1 0 -1
186 0 1 0 -1
187 0 1 0 -1
188 0 1 0 -1
189 0 1 0 -1
190 0 1 0 -1
191 0 1 0 -1
192 0 1 0 -1
193 0 1 0 -1
194 0 1 0 -1
195 0 1 0 -1
196 0 1 0 -1
197 0 1 0 -1
198 0 1 0 -1
199 0 1 0 -1
200 0 1 0 -1
201 0 1 0 -1
202 0 1 0 -1
203 0 1 0 -1
204 0 1 0 -1
205 0 1 0 -1
206 0 1 0 -1
207 0 1 0 -1
208 0 1 0 -1
209 0 1 0 -1
210 0 1 0 -1
211 0 1 0 -1
212 0 1 0 -1
213 0 1 0 -1
214 0 1 0 -1
215 2762.79 5.13785 -1 475.493
216 -5897.82 22.8644 69.3208 221.253
217 0 1 0 -1
218 0 1 0 -1
219 0 1 0 -1
220 0 1 0 -1
221 0 1 0 -1
222 0 1 0 -1
223 0 1 0 -1
