Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l
271Ds,271,110,10.44,0.032,1.0,0
267Hs,267,108,9.73,0.803,1.0,0
263Sg,263,106,9.31,4.1,1.0,0
277Cn,277,112,11.31,0.00061,1,0
277Cn_up,277,112,11.31,0.00107,1,0
277Cn_low,277,112,11.31,0.00043,1,0
