isotope, symbol, Z  , N  , A  , is_parenthesized, mass_number_uncertain, T_half_raw          , T_half_s              , T_half_err_plus_s     , T_half_err_minus_s    , T_half_err_s          , T_half_unit, T_half_qualifier, T_half_estimated, Jpi_raw       , Jpi_estimated, decay_modes_raw                 , branching_raw                  , b_alpha_percent, b_alpha_err_plus_percent, b_alpha_err_minus_percent, b_alpha_err_percent, b_alpha_qualifier, b_alpha_estimated, T_alpha_half_s        , T_alpha_half_err_plus_s, T_alpha_half_err_minus_s, T_alpha_half_err_s    , T_alpha_half_qualifier, T_alpha_half_estimated, b_SF_percent, b_SF_err_plus_percent, b_SF_err_minus_percent, b_SF_err_percent, b_SF_qualifier, b_SF_estimated, T_SF_half_s           , T_SF_half_err_plus_s  , T_SF_half_err_minus_s , T_SF_half_err_s       , T_SF_half_qualifier, T_SF_half_estimated, Qalpha_raw  , Qalpha_keV, Qalpha_MeV         , Qalpha_err_keV      , Qalpha_err_MeV       , Qalpha_estimated, Qalpha_is_experimental, Qalpha_qualifier, has_estimated_marker, nonexperimental_fields, discovery_year
250Es  , Es    ,  99, 151, 250, False           , False                , 8.6(1) min          , 516.0                 , 6.0                   , 6.0                   , 6.0                   , min        ,                 , False           , 6(^+)         , False        , "alpha, EC"                     , ?/100                          ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 6830(120)#  ,    6830.0 ,  6.83              , 120.0               , 0.12                 , True            , False                 ,                 , True                , Qalpha                ,         1956.0
251Es  , Es    ,  99, 152, 251, False           , False                , 33(1) h             , 118800.0              , 3600.0                , 3600.0                , 3600.0                , h          ,                 , False           , 3/2^-         , False        , "alpha, EC"                     , 99.50/0.50                     ,           99.5 ,                         ,                          ,                    ,                  , False            , 119396.98492462312    , 3618.090452261307      , 3618.090452261307       , 3618.090452261307     ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 6597.1(10)  ,    6597.1 ,  6.5971            ,   1.0               , 0.001                , False           , True                  ,                 , False               ,                       ,         1956.0
252Es  , Es    ,  99, 153, 252, False           , False                , 417.7(19) d         , 36089280.0            , 164160.0              , 164160.0              , 164160.0              , d          ,                 , False           , (4^+)         , False        , "alpha, EC"                     , 78/22                          ,           78.0 ,                         ,                          ,                    ,                  , False            , 46268307.69230769     , 210461.53846153844     , 210461.53846153844      , 210461.53846153844    ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 6738.6(5)   ,    6738.6 ,  6.7386            ,   0.5               , 0.0005               , False           , True                  ,                 , False               ,                       ,         1956.0
253Es  , Es    ,  99, 154, 253, False           , False                , 20.47(2) d          , 1768608.0             , 1728.0                , 1728.0                , 1728.0                , d          ,                 , False           , 7/2^+         , False        , "alpha, EC; beta^-, SF"         , 100/8.7E-6                     ,          100.0 ,                         ,                          ,                    ,                  , False            , 1768608.0             , 1728.0                 , 1728.0                  , 1728.0                ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 6739.24(5)  ,    6739.24,  6.73924           ,   0.05              , 5e-05                , False           , True                  ,                 , False               ,                       ,         1954.0
254Es  , Es    ,  99, 155, 254, False           , False                , 275.7(5) d          , 23820480.0            , 43200.0               , 43200.0               , 43200.0               , d          ,                 , False           , 7^+           , False        , "alpha,; beta^-, SF; beta^-, SF", 100; 1.7E-4/<3.0E-6            ,          100.0 ,                         ,                          ,                    ,                  , False            , 23820480.0            , 43200.0                , 43200.0                 , 43200.0               ,                       , False                 , 3e-06       ,                      ,                       ,                 , <             , False         , 794015999999999.9     , 1439999999999.9998    , 1439999999999.9998    , 1439999999999.9998    , >                  , False              , 6617.2(5)   ,    6617.2 ,  6.6171999999999995,   0.5               , 0.0005               , False           , True                  ,                 , False               ,                       ,         1954.0
255Es  , Es    ,  99, 156, 255, False           , False                , 39.8(12) d          , 3438719.9999999995    , 103680.00000000001    , 103680.00000000001    , 103680.00000000001    , d          ,                 , False           , (7/2^+)       , False        , "alpha, EC, SF"                 , 92/8/4.1E-3                    ,           92.0 ,                         ,                          ,                    ,                  , False            , 3737739.130434782     , 112695.65217391305     , 112695.65217391305      , 112695.65217391305    ,                       , False                 , 0.0041      ,                      ,                       ,                 ,               , False         , 83871219512.19511     , 2528780487.8048787    , 2528780487.8048787    , 2528780487.8048787    ,                    , False              , 6436.3(13)  ,    6436.3 ,  6.4363            ,   1.3               , 0.0013               , False           , True                  ,                 , False               ,                       ,         1954.0
256Es  , Es    ,  99, 157, 256, False           , False                , 25.4(12) min        , 1524.0                , 72.00000000000001     , 72.00000000000001     , 72.00000000000001     , min        ,                 , False           , "(1^+,0^-)"   , False        , beta^-                          , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 6230(220)#  ,    6230.0 ,  6.23              , 220.0               , 0.22                 , True            , False                 ,                 , True                , Qalpha                ,         1955.0
257Es  , Es    ,  99, 158, 257, False           , False                , 7.7(2) d            , 665280.0              , 17280.0               , 17280.0               , 17280.0               , d          ,                 , False           ,               , False        , "beta^-, SF"                    , 100/?                          ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 ,             ,                      ,                       ,                 , unknown       , False         ,                       ,                       ,                       ,                       ,                    , False              , 6050(200)#  ,    6050.0 ,  6.05              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1987.0
241Fm  , Fm    , 100, 141, 241, False           , False                , 0.73(6) ms          , 0.00073               , 6e-05                 , 6e-05                 , 6e-05                 , ms         ,                 , False           , 5/2^+#        , True         , "alpha, EC, SF"                 , <14/<12/>78                    ,           14.0 ,                         ,                          ,                    , <                , False            , 0.005214285714285714  , 0.0004285714285714286  , 0.0004285714285714286   , 0.0004285714285714286 , >                     , False                 , 78.0        ,                      ,                       ,                 , >             , False         , 0.0009358974358974359 , 7.692307692307693e-05 , 7.692307692307693e-05 , 7.692307692307693e-05 , <                  , False              , 8860(320)#  ,    8860.0 ,  8.86              , 320.0               , 0.32                 , True            , False                 ,                 , True                , Qalpha;Jpi            ,         2008.0
242Fm  , Fm    , 100, 142, 242, True            , False                , 0.8(2) ms           , 0.0008                , 0.0002                , 0.0002                , 0.0002                , ms         ,                 , False           , 0^+           , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.0008                , 0.0002                , 0.0002                , 0.0002                ,                    , False              , 8700(500)#  ,    8700.0 ,  8.7               , 500.0               , 0.5                  , True            , False                 ,                 , True                , Qalpha                ,         1975.0
