isotope, symbol, Z  , N  , A  , is_parenthesized, mass_number_uncertain, T_half_raw          , T_half_s              , T_half_err_plus_s     , T_half_err_minus_s    , T_half_err_s          , T_half_unit, T_half_qualifier, T_half_estimated, Jpi_raw       , Jpi_estimated, decay_modes_raw                 , branching_raw                  , b_alpha_percent, b_alpha_err_plus_percent, b_alpha_err_minus_percent, b_alpha_err_percent, b_alpha_qualifier, b_alpha_estimated, T_alpha_half_s        , T_alpha_half_err_plus_s, T_alpha_half_err_minus_s, T_alpha_half_err_s    , T_alpha_half_qualifier, T_alpha_half_estimated, b_SF_percent, b_SF_err_plus_percent, b_SF_err_minus_percent, b_SF_err_percent, b_SF_qualifier, b_SF_estimated, T_SF_half_s           , T_SF_half_err_plus_s  , T_SF_half_err_minus_s , T_SF_half_err_s       , T_SF_half_qualifier, T_SF_half_estimated, Qalpha_raw  , Qalpha_keV, Qalpha_MeV         , Qalpha_err_keV      , Qalpha_err_MeV       , Qalpha_estimated, Qalpha_is_experimental, Qalpha_qualifier, has_estimated_marker, nonexperimental_fields, discovery_year
256Md  , Md    , 101, 155, 256, False           , False                , 77.7(15) min        , 4662.0                , 90.0                  , 90.0                  , 90.0                  , min        ,                 , False           , (1^-)         , False        , "alpha, EC, SF"                 , 9.2/90.8/<3                    ,            9.2 ,                         ,                          ,                    ,                  , False            , 50673.913043478264    , 978.2608695652174      , 978.2608695652174       , 978.2608695652174     ,                       , False                 , 3.0         ,                      ,                       ,                 , <             , False         , 155400.0              , 3000.0                , 3000.0                , 3000.0                , >                  , False              , 7740(110)#  ,    7740.0 ,  7.74              , 110.0               , 0.11                 , True            , False                 ,                 , True                , Qalpha                ,         1955.0
257Md  , Md    , 101, 156, 257, False           , False                , 5.52(5) h           , 19872.0               , 180.0                 , 180.0                 , 180.0                 , h          ,                 , False           , (7/2^-)       , False        , "alpha, EC, SF"                 , 15/85/<1                       ,           15.0 ,                         ,                          ,                    ,                  , False            , 132480.0              , 1200.0                 , 1200.0                  , 1200.0                ,                       , False                 , 1.0         ,                      ,                       ,                 , <             , False         , 1987200.0             , 18000.0               , 18000.0               , 18000.0               , >                  , False              , 7557.1(9)   ,    7557.1 ,  7.5571            ,   0.9               , 0.0009               , False           , True                  ,                 , False               ,                       ,         1965.0
258Md  , Md    , 101, 157, 258, False           , False                , 51.50(29) d         , 4449600.0             , 25056.0               , 25056.0               , 25056.0               , d          ,                 , False           , 8^- #         , True         , "alpha, EC"                     , 100/<1.5E-3                    ,          100.0 ,                         ,                          ,                    ,                  , False            , 4449600.0             , 25056.0                , 25056.0                 , 25056.0               ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7271.3(19)  ,    7271.3 ,  7.2713            ,   1.9000000000000001, 0.0019000000000000002, False           , True                  ,                 , True                , Jpi                   ,         1970.0
259Md  , Md    , 101, 158, 259, False           , False                , 1.61(6) h           , 5796.0                , 216.0                 , 216.0                 , 216.0                 , h          ,                 , False           , 7/2^- #       , True         , "alpha, SF"                     , <1.3/100                       ,            1.3 ,                         ,                          ,                    , <                , False            , 445846.1538461538     , 16615.384615384613     , 16615.384615384613      , 16615.384615384613    , >                     , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 5796.0                , 216.0                 , 216.0                 , 216.0                 ,                    , False              , 7050(100)#  ,    7050.0 ,  7.05              , 100.0               , 0.1                  , True            , False                 ,                 , True                , Qalpha;Jpi            ,         1982.0
260Md  , Md    , 101, 159, 260, False           , False                , 31.8(5) d           , 2747520.0             , 43200.0               , 43200.0               , 43200.0               , d          ,                 , False           ,               , False        , "alpha, EC, beta^-, SF"         , <5/<5/<3.5/100                 ,            5.0 ,                         ,                          ,                    , <                , False            , 54950400.0            , 864000.0               , 864000.0                , 864000.0              , >                     , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 2747520.0             , 43200.0               , 43200.0               , 43200.0               ,                    , False              , 6940(300)#  ,    6940.0 ,  6.94              , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         1989.0
249No  , No    , 102, 147, 249, False           , False                , 38.1(25)ms          , 0.0381                , 0.0025                , 0.0025                , 0.0025                , ms         ,                 , False           , 5/2^+ #       , True         , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.0381                , 0.0025                 , 0.0025                  , 0.0025                ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9276(20)    ,    9276.0 ,  9.276             ,  20.0               , 0.02                 , False           , True                  ,                 , True                , Jpi                   ,         2021.0
250No  , No    , 102, 148, 250, False           , False                , 4.6(2) us           , 4.599999999999999e-06 , 2e-07                 , 2e-07                 , 2e-07                 , us         ,                 , False           , 0^+           , False        , "alpha, SF"                     , <2/100                         ,            2.0 ,                         ,                          ,                    , <                , False            , 0.00022999999999999995, 9.999999999999999e-06  , 9.999999999999999e-06   , 9.999999999999999e-06 , >                     , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 4.599999999999999e-06 , 2e-07                 , 2e-07                 , 2e-07                 ,                    , False              , 8950(200)#  ,    8950.0 ,  8.95              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         2003.0
251No  , No    , 102, 149, 251, False           , False                , 0.8(1) s            , 0.8                   , 0.1                   , 0.1                   , 0.1                   , s          ,                 , False           , (7/2^+)       , False        , "alpha, EC, SF"                 , 90/>0/<1.4E-3                  ,           90.0 ,                         ,                          ,                    ,                  , False            , 0.888888888888889     , 0.11111111111111112    , 0.11111111111111112     , 0.11111111111111112   ,                       , False                 , 0.0014      ,                      ,                       ,                 , <             , False         , 57142.857142857145    , 7142.857142857143     , 7142.857142857143     , 7142.857142857143     , >                  , False              , 8752(4)     ,    8752.0 ,  8.752             ,   4.0               , 0.004                , False           , True                  ,                 , False               ,                       ,         1967.0
252No  , No    , 102, 150, 252, False           , False                , 2.467(16) s         , 2.467                 , 0.016                 , 0.016                 , 0.016                 , s          ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , 67.6/1.1/31                    ,           67.6 ,                         ,                          ,                    ,                  , False            , 3.6494082840236692    , 0.02366863905325444    , 0.02366863905325444     , 0.02366863905325444   ,                       , False                 , 31.0        ,                      ,                       ,                 ,               , False         , 7.958064516129032     , 0.05161290322580645   , 0.05161290322580645   , 0.05161290322580645   ,                    , False              , 8549(5)     ,    8549.0 ,  8.549             ,   5.0               , 0.005                , False           , True                  ,                 , False               ,                       ,         1967.0
253No  , No    , 102, 151, 253, False           , False                , 1.57(2) min         , 94.2                  , 1.2                   , 1.2                   , 1.2                   , min        ,                 , False           , 9/2^-         , False        , "alpha, EC"                     , 55/45                          ,           55.0 ,                         ,                          ,                    ,                  , False            , 171.27272727272725    , 2.181818181818181      , 2.181818181818181       , 2.181818181818181     ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8415(4)     ,    8415.0 ,  8.415             ,   4.0               , 0.004                , False           , True                  ,                 , False               ,                       ,         1967.0
254No  , No    , 102, 152, 254, False           , False                , 51.2(4) s           , 51.2                  , 0.4                   , 0.4                   , 0.4                   , s          ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , 90/10/0.17                     ,           90.0 ,                         ,                          ,                    ,                  , False            , 56.88888888888889     , 0.4444444444444445     , 0.4444444444444445      , 0.4444444444444445    ,                       , False                 , 0.17        ,                      ,                       ,                 ,               , False         , 30117.647058823528    , 235.2941176470588     , 235.2941176470588     , 235.2941176470588     ,                    , False              , 8226(8)     ,    8226.0 ,  8.226             ,   8.0               , 0.008                , False           , True                  ,                 , False               ,                       ,         1966.0
255No  , No    , 102, 153, 255, False           , False                , 3.52(18) min        , 211.2                 , 10.799999999999999    , 10.799999999999999    , 10.799999999999999    , min        ,                 , False           , (1/2^+)       , False        , "alpha, EC"                     , 30/70                          ,           30.0 ,                         ,                          ,                    ,                  , False            , 704.0                 , 36.0                   , 36.0                    , 36.0                  ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8428.2(30)  ,    8428.2 ,  8.4282            ,   3.0               , 0.003                , False           , True                  ,                 , False               ,                       ,         1967.0
256No  , No    , 102, 154, 256, False           , False                , 2.91(5) s           , 2.91                  , 0.05                  , 0.05                  , 0.05                  , s          ,                 , False           , 0^+           , False        , "alpha, SF"                     , 99.45/0.55                     ,           99.45,                         ,                          ,                    ,                  , False            , 2.9260935143288083    , 0.05027652086475616    , 0.05027652086475616     , 0.05027652086475616   ,                       , False                 , 0.55        ,                      ,                       ,                 ,               , False         , 529.090909090909      , 9.09090909090909      , 9.09090909090909      , 9.09090909090909      ,                    , False              , 8582(5)     ,    8582.0 ,  8.582             ,   5.0               , 0.005                , False           , True                  ,                 , False               ,                       ,         1963.0
257No  , No    , 102, 155, 257, False           , False                , 24.5(5) s           , 24.5                  , 0.5                   , 0.5                   , 0.5                   , s          ,                 , False           , (3/2^+)       , False        , "alpha, EC, SF"                 , 85/15/<1.5                     ,           85.0 ,                         ,                          ,                    ,                  , False            , 28.823529411764707    , 0.5882352941176471     , 0.5882352941176471      , 0.5882352941176471    ,                       , False                 , 1.5         ,                      ,                       ,                 , <             , False         , 1633.3333333333335    , 33.333333333333336    , 33.333333333333336    , 33.333333333333336    , >                  , False              , 8477(6)     ,    8477.0 ,  8.477             ,   6.0               , 0.006                , False           , True                  ,                 , False               ,                       ,         1967.0
258No  , No    , 102, 156, 258, False           , False                , 1.23^+12_-11 ms     , 0.00123               , 0.012                 , 0.011                 , 0.0115                , ms         ,                 , False           , 0^+           , False        , SF                              , <=100                          ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 , <=            , False         , 0.00123               , 0.012                 , 0.011                 , 0.0115                , >=                 , False              , 8150(100)#  ,    8150.0 ,  8.15              , 100.0               , 0.1                  , True            , False                 ,                 , True                , Qalpha                ,         1969.0
259No  , No    , 102, 157, 259, False           , False                , 58(5) min           , 3480.0                , 300.0                 , 300.0                 , 300.0                 , min        ,                 , False           , 9/2^+         , False        , "alpha, EC, SF"                 , 75/25/<10                      ,           75.0 ,                         ,                          ,                    ,                  , False            , 4640.0                , 400.0                  , 400.0                   , 400.0                 ,                       , False                 , 10.0        ,                      ,                       ,                 , <             , False         , 34800.0               , 3000.0                , 3000.0                , 3000.0                , >                  , False              , 7854(5)     ,    7854.0 ,  7.854             ,   5.0               , 0.005                , False           , True                  ,                 , False               ,                       ,         1973.0
260No  , No    , 102, 158, 260, False           , False                , 106(8) ms           , 0.106                 , 0.008                 , 0.008                 , 0.008                 , ms         ,                 , False           , 0^+           , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.106                 , 0.008                 , 0.008                 , 0.008                 ,                    , False              , 7700(200)#  ,    7700.0 ,  7.7               , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1985.0
262No  , No    , 102, 160, 262, False           , False                , approx 5 ms         , 0.005                 ,                       ,                       ,                       , ms         , approx          , False           , 0^+           , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.005                 ,                       ,                       ,                       , approx             , False              , 7250(300)#  ,    7250.0 ,  7.25              , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         1988.0
251Lr  , Lr    , 103, 148, 251, False           , False                , 24.4^+7.0_-4.5 ms   , 0.024399999999999998  , 0.007                 , 0.0045000000000000005 , 0.00575               , ms         ,                 , False           , (7/2^-)       , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 0.024399999999999998  , 0.007                  , 0.0045000000000000005   , 0.00575               ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 9438(19)    ,    9438.0 ,  9.438             ,  19.0               , 0.019                , False           , True                  ,                 , False               ,                       ,         2022.0
252Lr  , Lr    , 103, 149, 252, False           , False                , 0.41^+0.07_-0.05 s  , 0.41                  , 0.07                  , 0.05                  , 0.060000000000000005  , s          ,                 , False           , 0^+           , False        , "alpha, EC, SF"                 , approx 70-90/?/approx 10-30    ,           70.0 ,                         ,                          ,                    , approx           , False            , 0.5857142857142857    , 0.1                    , 0.07142857142857144     , 0.08571428571428572   , approx                , False                 , 10.0        ,                      ,                       ,                 , approx        , False         , 4.1                   , 0.7                   , 0.5                   , 0.6                   , approx             , False              , 9164(17)    ,    9164.0 ,  9.164             ,  17.0               , 0.017                , False           , True                  ,                 , False               ,                       ,         1999.0
253Lr  , Lr    , 103, 150, 253, False           , False                , 632(46) ms          , 0.632                 , 0.046                 , 0.046                 , 0.046                 , ms         ,                 , False           , (7/2^-)       , False        , "alpha, EC, SF"                 , 99/?/1                         ,           99.0 ,                         ,                          ,                    ,                  , False            , 0.6383838383838384    , 0.046464646464646465   , 0.046464646464646465    , 0.046464646464646465  ,                       , False                 , 1.0         ,                      ,                       ,                 ,               , False         , 63.2                  , 4.6000000000000005    , 4.6000000000000005    , 4.6000000000000005    ,                    , False              , 8918(20)    ,    8918.0 ,  8.918             ,  20.0               , 0.02                 , False           , True                  ,                 , False               ,                       ,         1982.0
254Lr  , Lr    , 103, 151, 254, False           , False                , 12.0(9) s           , 12.0                  , 0.9                   , 0.9                   , 0.9                   , s          ,                 , False           , 4^+ #         , True         , "alpha, EC, SF"                 , 71.7/28.3/<0.1                 ,           71.7 ,                         ,                          ,                    ,                  , False            , 16.736401673640167    , 1.2552301255230125     , 1.2552301255230125      , 1.2552301255230125    ,                       , False                 , 0.1         ,                      ,                       ,                 , <             , False         , 12000.0               , 900.0                 , 900.0                 , 900.0                 , >                  , False              , 8822(8)     ,    8822.0 ,  8.822             ,   8.0               , 0.008                , False           , True                  ,                 , True                , Jpi                   ,         1981.0
255Lr  , Lr    , 103, 152, 255, False           , False                , 31.1(11) s          , 31.1                  , 1.1                   , 1.1                   , 1.1                   , s          ,                 , False           , (1/2^-)       , False        , "alpha, EC, SF"                 , 99.70/0.30/<=0.1               ,           99.7 ,                         ,                          ,                    ,                  , False            , 31.193580742226683    , 1.1033099297893683     , 1.1033099297893683      , 1.1033099297893683    ,                       , False                 , 0.1         ,                      ,                       ,                 , <=            , False         , 31100.0               , 1100.0                , 1100.0                , 1100.0                , >=                 , False              , 8556(7)     ,    8556.0 ,  8.556             ,   7.0               , 0.007                , False           , True                  ,                 , False               ,                       ,         1971.0
256Lr  , Lr    , 103, 153, 256, False           , False                , 27.9(10) s          , 27.9                  , 1.0                   , 1.0                   , 1.0                   , s          ,                 , False           , "(0^-, 3^-) #", True         , "alpha, EC, SF"                 , 85/15/<0.03                    ,           85.0 ,                         ,                          ,                    ,                  , False            , 32.8235294117647      , 1.1764705882352942     , 1.1764705882352942      , 1.1764705882352942    ,                       , False                 , 0.03        ,                      ,                       ,                 , <             , False         , 93000.0               , 3333.333333333334     , 3333.333333333334     , 3333.333333333334     , >                  , False              , 8850(120)   ,    8850.0 ,  8.85              , 120.0               , 0.12                 , False           , True                  ,                 , True                , Jpi                   ,         1965.0
257Lr  , Lr    , 103, 154, 257, False           , False                , 6.0(4) s            , 6.0                   , 0.4                   , 0.4                   , 0.4                   , s          ,                 , False           , 7/2^- #       , True         , "alpha, EC, SF"                 , 100/<15/<=0.03                 ,          100.0 ,                         ,                          ,                    ,                  , False            , 6.0                   , 0.4                    , 0.4                     , 0.4                   ,                       , False                 , 0.03        ,                      ,                       ,                 , <=            , False         , 20000.0               , 1333.3333333333333    , 1333.3333333333333    , 1333.3333333333333    , >=                 , False              , 9070(30)    ,    9070.0 ,  9.07              ,  30.0               , 0.03                 , False           , True                  ,                 , True                , Jpi                   ,         1971.0
258Lr  , Lr    , 103, 155, 258, False           , False                , 3.86^+24_-23 s      , 3.86                  , 24.0                  , 23.0                  , 23.5                  , s          ,                 , False           ,               , False        , "alpha, SF"                     , 97.4/2.6                       ,           97.4 ,                         ,                          ,                    ,                  , False            , 3.963039014373716     , 24.64065708418891      , 23.613963039014372      , 24.12731006160164     ,                       , False                 , 2.6         ,                      ,                       ,                 ,               , False         , 148.46153846153845    , 923.076923076923      , 884.6153846153845     , 903.8461538461538     ,                    , False              , 8904(19)    ,    8904.0 ,  8.904             ,  19.0               , 0.019                , False           , True                  ,                 , False               ,                       ,         1971.0
259Lr  , Lr    , 103, 156, 259, False           , False                , 6.2(3) s            , 6.2                   , 0.30000000000000004   , 0.30000000000000004   , 0.30000000000000004   , s          ,                 , False           , 1/2^+ #       , True         , "alpha, SF"                     , 78/22                          ,           78.0 ,                         ,                          ,                    ,                  , False            , 7.948717948717949     , 0.3846153846153847     , 0.3846153846153847      , 0.3846153846153847    ,                       , False                 , 22.0        ,                      ,                       ,                 ,               , False         , 28.181818181818183    , 1.363636363636364     , 1.363636363636364     , 1.363636363636364     ,                    , False              , 8580(70)#   ,    8580.0 ,  8.58              ,  70.0               , 0.07                 , True            , False                 ,                 , True                , Qalpha;Jpi            ,         1971.0
260Lr  , Lr    , 103, 157, 260, False           , False                , 180(30) s           , 180.0                 , 30.0                  , 30.0                  , 30.0                  , s          ,                 , False           ,               , False        , "alpha, EC"                     , 80/20                          ,           80.0 ,                         ,                          ,                    ,                  , False            , 225.0                 , 37.5                   , 37.5                    , 37.5                  ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8400(140)#  ,    8400.0 ,  8.4               , 140.0               , 0.14                 , True            , False                 ,                 , True                , Qalpha                ,         1971.0
261Lr  , Lr    , 103, 158, 261, False           , False                , 39(12) min          , 2340.0                , 720.0                 , 720.0                 , 720.0                 , min        ,                 , False           , 1/2^+ #       , True         , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 2340.0                , 720.0                 , 720.0                 , 720.0                 ,                    , False              , 8140(200)#  ,    8140.0 ,  8.14              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha;Jpi            ,         1987.0
262Lr  , Lr    , 103, 159, 262, False           , False                , approx 4 h          , 14400.0               ,                       ,                       ,                       , h          , approx          , False           ,               , False        , "alpha, EC, SF"                 , ?/?/<10                        ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 , 10.0        ,                      ,                       ,                 , <             , False         , 144000.0              ,                       ,                       ,                       , approx;>           , False              , 7990(200)#  ,    7990.0 ,  7.99              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1987.0
264Lr  , Lr    , 103, 161, 264, False           , False                , 4.8^+2.2_-1.3h      ,                       ,                       ,                       ,                       ,            ,                 , False           ,               , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 7400(300)#  ,    7400.0 ,  7.4               , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         2022.0
266Lr  , Lr    , 103, 163, 266, False           , False                , 11^+21_-5 h         , 39600.0               , 75600.0               , 18000.0               , 46800.0               , h          ,                 , False           ,               , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 39600.0               , 75600.0               , 18000.0               , 46800.0               ,                    , False              , 7570(300)#  ,    7570.0 ,  7.57              , 300.0               , 0.3                  , True            , False                 ,                 , True                , Qalpha                ,         2014.0
252Rf  , Rf    , 104, 148, 252, False           , False                , 60^+90_-30 ns       , 6.000000000000001e-08 , 9.000000000000001e-08 , 3.0000000000000004e-08, 6.000000000000001e-08 , ns         ,                 , False           , 0^+           , False        , SF                              , 100                            ,                ,                         ,                          ,                    ,                  , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 6.000000000000001e-08 , 9.000000000000001e-08 , 3.0000000000000004e-08, 6.000000000000001e-08 ,                    , False              ,             ,           ,                    ,                     ,                      , False           , True                  ,                 , False               ,                       ,         2025.0
253Rf  , Rf    , 104, 149, 253, False           , False                , 12.8^+7.0_-3.4 ms   , 0.0128                , 0.007                 , 0.0034                , 0.0052                , ms         ,                 , False           , (7/2)(^+ #)   , True         , "alpha, SF"                     , ?/100                          ,                ,                         ,                          ,                    , unknown          , False            ,                       ,                        ,                         ,                       ,                       , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 0.0128                , 0.007                 , 0.0034000000000000002 , 0.0052                ,                    , False              , 9460(20)    ,    9460.0 ,  9.46              ,  20.0               , 0.02                 , False           , True                  ,                 , True                , Jpi                   ,         1997.0
254Rf  , Rf    , 104, 150, 254, False           , False                , 22.9(10) us         , 2.2899999999999998e-05, 1e-06                 , 1e-06                 , 1e-06                 , us         ,                 , False           , 0^+           , False        , "alpha, SF"                     , <1.5/100                       ,            1.5 ,                         ,                          ,                    , <                , False            , 0.0015266666666666666 , 6.666666666666667e-05  , 6.666666666666667e-05   , 6.666666666666667e-05 , >                     , False                 , 100.0       ,                      ,                       ,                 ,               , False         , 2.2899999999999998e-05, 1e-06                 , 1e-06                 , 1e-06                 ,                    , False              , 9210(200)#  ,    9210.0 ,  9.21              , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1997.0
255Rf  , Rf    , 104, 151, 255, False           , False                , 1.67(2) s           , 1.67                  , 0.02                  , 0.02                  , 0.02                  , s          ,                 , False           , (9/2^-)       , False        , "alpha, EC, SF"                 , 49/<0.08/51                    ,           49.0 ,                         ,                          ,                    ,                  , False            , 3.4081632653061225    , 0.04081632653061225    , 0.04081632653061225     , 0.04081632653061225   ,                       , False                 , 51.0        ,                      ,                       ,                 ,               , False         , 3.2745098039215685    , 0.0392156862745098    , 0.0392156862745098    , 0.0392156862745098    ,                    , False              , 9055(4)     ,    9055.0 ,  9.055             ,   4.0               , 0.004                , False           , True                  ,                 , False               ,                       ,         1975.0
256Rf  , Rf    , 104, 152, 256, False           , False                , 6.60(5) ms          , 0.0066                , 5e-05                 , 5e-05                 , 5e-05                 , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 0.31/99.69                     ,            0.31,                         ,                          ,                    ,                  , False            , 2.129032258064516     , 0.016129032258064516   , 0.016129032258064516    , 0.016129032258064516  ,                       , False                 , 99.69       ,                      ,                       ,                 ,               , False         , 0.0066205236232320195 , 5.015548199418197e-05 , 5.015548199418197e-05 , 5.015548199418197e-05 ,                    , False              , 8926(15)    ,    8926.0 ,  8.926             ,  15.0               , 0.015                , False           , True                  ,                 , False               ,                       ,         1975.0
257Rf  , Rf    , 104, 153, 257, False           , False                , 5.0(2) s            , 5.0                   , 0.2                   , 0.2                   , 0.2                   , s          ,                 , False           , (1/2^+)       , False        , "alpha, EC, SF"                 , 89.3/9.4/1.30                  ,           89.3 ,                         ,                          ,                    ,                  , False            , 5.599104143337066     , 0.22396416573348266    , 0.22396416573348266     , 0.22396416573348266   ,                       , False                 , 1.3         ,                      ,                       ,                 ,               , False         , 384.6153846153846     , 15.384615384615383    , 15.384615384615383    , 15.384615384615383    ,                    , False              , 9083(8)     ,    9083.0 ,  9.083             ,   8.0               , 0.008                , False           , True                  ,                 , False               ,                       ,         1969.0
258Rf  , Rf    , 104, 154, 258, False           , False                , 12.5(5) ms          , 0.0125                , 0.0005                , 0.0005                , 0.0005                , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 95.1/4.9                       ,           95.1 ,                         ,                          ,                    ,                  , False            , 0.013144058885383808  , 0.0005257623554153524  , 0.0005257623554153524   , 0.0005257623554153524 ,                       , False                 , 4.9         ,                      ,                       ,                 ,               , False         , 0.25510204081632654   , 0.010204081632653062  , 0.010204081632653062  , 0.010204081632653062  ,                    , False              , 9196(8)     ,    9196.0 ,  9.196             ,   8.0               , 0.008                , False           , True                  ,                 , False               ,                       ,         1969.0
259Rf  , Rf    , 104, 155, 259, False           , False                , 2.5^+0.4_-0.3) s    , 2.5                   , 0.4                   , 0.3                   , 0.35                  , s          ,                 , False           , 3/2^+ #       , True         , "alpha, EC, SF"                 , 85/15/<3                       ,           85.0 ,                         ,                          ,                    ,                  , False            , 2.9411764705882355    , 0.4705882352941177     , 0.35294117647058826     , 0.411764705882353     ,                       , False                 , 3.0         ,                      ,                       ,                 , <             , False         , 83.33333333333334     , 13.333333333333336    , 10.0                  , 11.666666666666668    , >                  , False              , 9130(70)#   ,    9130.0 ,  9.13              ,  70.0               , 0.07                 , True            , False                 ,                 , True                , Qalpha;Jpi            ,         1969.0
260Rf  , Rf    , 104, 156, 260, False           , False                , 21.7(8) ms          , 0.0217                , 0.0008                , 0.0008                , 0.0008                , ms         ,                 , False           , 0^+           , False        , "alpha, SF"                     , 35/65                          ,           35.0 ,                         ,                          ,                    ,                  , False            , 0.062000000000000006  , 0.002285714285714286   , 0.002285714285714286    , 0.002285714285714286  ,                       , False                 , 65.0        ,                      ,                       ,                 ,               , False         , 0.03338461538461539   , 0.0012307692307692308 , 0.0012307692307692308 , 0.0012307692307692308 ,                    , False              , 8900(200)#  ,    8900.0 ,  8.9               , 200.0               , 0.2                  , True            , False                 ,                 , True                , Qalpha                ,         1985.0
261Rf  , Rf    , 104, 157, 261, False           , False                , 70(3) s             , 70.0                  , 3.0                   , 3.0                   , 3.0                   , s          ,                 , False           , (11/2)        , False        , alpha                           , 100                            ,          100.0 ,                         ,                          ,                    ,                  , False            , 70.0                  , 3.0                    , 3.0                     , 3.0                   ,                       , False                 ,             ,                      ,                       ,                 ,               , False         ,                       ,                       ,                       ,                       ,                    , False              , 8650(70)    ,    8650.0 ,  8.65              ,  70.0               , 0.07                 , False           , True                  ,                 , False               ,                       ,         1970.0
