Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Qalpha_DZR_MeV,l_used,parity_case,log10T_Royer_s,T_Royer_s,log10T_DZR_s,T_DZR_s,Talpha_exp_s,HF_Royer,HF_DZR
273Ds_a,273,110,10.858,0.03,1.0,0,163,11.019457249070632,0.0,evenZ-oddN,-3.142254750140438,0.0007206846131981934,-3.3075291297718197,0.000492573303488954,0.03,41.627085483160975,60.90464056315377
273Ds_b,273,110,10.929,0.03,1.0,0,163,11.091513011152417,0.0,evenZ-oddN,-3.313115395826216,0.00048627798022959847,-3.4806430487380355,0.0003306411869016125,0.03,61.69310809803758,90.73279793459902
273Ds_c,273,110,11.165,0.00018,1.0,0,163,11.331022304832713,0.0,evenZ-oddN,-3.8692864880275266,0.00013511809449839965,-4.0441488051411385,9.033399034676905e-05,0.00018,1.3321679873314964,1.9926054335585766
269Hs_a,269,108,9.13,8.5,1.0,0,161,9.267811320754719,0.0,evenZ-oddN,0.9002709497115831,7.948239586310163,0.7961197457792608,6.25345092186605,8.5,1.069419197508864,1.359249493792073
269Hs_b,269,108,8.95,8.5,1.0,0,161,9.085094339622641,0.0,evenZ-oddN,1.462821797738762,29.02831303279312,1.3660893928497047,23.232149452648336,8.5,0.2928175671248136,0.36587230197208664
270Ds,270,110,12.147,10.35,1.0,0,160,12.32966165413534,0.0,even-even,-6.620488688840794,2.396135156049152e-07,-6.521150178515462,3.01196431040752e-07,10.35,43194558.42827127,34362956.97208855
