Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad_calc,Zd_calc,Qalpha_calc_MeV,x_calc,Ks_calc,y_calc,z_calc,N_interval,Z_interval,F_yz_calc,log10_T12a_Poenaru_s,T12a_Poenaru_s,energy_source,Ealpha_used_MeV,param_set,B1,B2,B3,B4,B5,B6,Texp_s_used,Br_alpha_used,T12a_exp_s,HF_Poenaru,log10_HF_Poenaru
273Ds_a,273,110,10.858,0.03,1.0,0,163,269,108,11.019457249070632,0.34900729181936285,37.75259994212195,0.6206896551724138,0.84375,"(127,185]","(83,115]",1.0230277279733486,-3.67269739268756,0.00021247244098756855,Ealpha,10.858,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.03,1.0,0.03,141.19478206472553,2.1498186474072227
273Ds_b,273,110,10.929,0.03,1.0,0,163,269,108,11.091513011152417,0.35128943565056336,37.3766119149338,0.6206896551724138,0.84375,"(127,185]","(83,115]",1.0230277279733486,-3.839747104930474,0.00014462817133857573,Ealpha,10.929,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.03,1.0,0.03,207.42846792807575,2.3168683596501367
273Ds_c,273,110,11.165,0.00018,1.0,0,163,269,108,11.331022304832713,0.35887515317399027,36.15586920807505,0.6206896551724138,0.84375,"(127,185]","(83,115]",1.0230277279733486,-4.382117348548203,4.148419351165856e-05,Ealpha,11.165,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,0.00018,1.0,0.00018,4.339002033374796,0.6373898536515089
269Hs_a,269,108,9.13,8.5,1.0,0,161,265,106,9.267811320754719,0.29787186593930975,46.87074879007711,0.5862068965517241,0.78125,"(127,185]","(83,115]",1.020534569020093,0.3277032440929091,2.1266853730908375,Ealpha,9.13,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,8.5,1.0,8.5,3.9968300471481815,0.6017156816213837
269Hs_b,269,108,8.95,8.5,1.0,0,161,265,106,9.085094339622641,0.2919992552198052,48.141446328324314,0.5862068965517241,0.78125,"(127,185]","(83,115]",1.020534569020093,0.8908923173200769,7.778436619321879,Ealpha,8.95,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,8.5,1.0,8.5,1.0927645767384329,0.03852660839421585
270Ds,270,110,12.147,10.35,1.0,0,160,266,108,12.32966165413534,0.38933444695125263,31.614596557882138,0.5689655172413793,0.84375,"(127,185]","(83,115]",1.020599717959228,-6.433120116193367,3.6887556168503953e-07,Ealpha,12.147,target,0.988662,0.016314,0.020433,0.027896,-0.003033,-0.003033,10.35,1.0,10.35,28058242.602791987,7.448060465986303
