Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad,Zd,Ac_used,Zc_used,Qc_Ismail_MeV,Q_source,parity_case,param_set_used,l_used,log10T_Ismail2022_FE_s,T_Ismail2022_FE_s,Talpha_exp_s,HF_Ismail2022_FE,log10HF_Ismail2022_FE
271Ds,271,110,10.44,0.032,1.0,0,161,267,108,4,2,10.596404494382021,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-2.2584429644238493,0.0055151462763787795,0.032,5.802203313637414,0.7635929427437553
267Hs,267,108,9.73,0.803,1.0,0,159,263,106,4,2,9.877984790874526,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-0.9835080049265423,0.10387044568201519,0.803,7.73078419686647,0.8882235502052234
263Sg,263,106,9.31,4.1,1.0,0,157,259,104,4,2,9.453783783783784,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-0.4409864350975157,0.3622543130151893,4.1,11.318015694206757,1.0537702918172511
277Cn,277,112,11.31,0.00061,1.0,0,165,273,110,4,2,11.475714285714288,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.800417289555198,0.00015833710875927018,0.00061,3.852539715926108,0.585747124565965
277Cn_up,277,112,11.31,0.00107,1.0,0,165,273,110,4,2,11.475714285714288,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.800417289555198,0.00015833710875927018,0.00107,6.757733600067107,0.8298010672404076
277Cn_low,277,112,11.31,0.00043,1.0,0,165,273,110,4,2,11.475714285714288,Ealpha_MeV converted by A/(A-4),even-odd,even-odd,0.0,-3.800417289555198,0.00015833710875927018,0.00043,2.7157247177839774,0.43388574513478445
