Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Qalpha_VS_MeV,Qalpha_source,log10T_VS_s,T_VS_s,Talpha_exp_s,log10Talpha_exp_s,Delta_log10_exp_minus_VS,HF_VS
271Ds,271,110,10.44,0.032,1.0,0,161.0,10.596404494382021,Ealpha_MeV converted by A/(A-4),-2.6468349113494227,0.0022550962804937704,0.032,-1.494850021680094,1.1519848896693288,14.190081495320172
267Hs,267,108,9.73,0.803,1.0,0,159.0,9.877984790874526,Ealpha_MeV converted by A/(A-4),-1.3516715332994451,0.04449676793153494,0.803,-0.09528445472131904,1.2563870785781261,18.046254533262683
263Sg,263,106,9.31,4.1,1.0,0,157.0,9.453783783783784,Ealpha_MeV converted by A/(A-4),-0.7927784840125618,0.16114673696904255,4.1,0.6127838567197355,1.4055623407322972,25.44264983030739
277Cn,277,112,11.31,0.00061,1.0,0,165.0,11.475714285714288,Ealpha_MeV converted by A/(A-4),-4.204326492404029,6.247028792297789e-05,0.00061,-3.214670164989233,0.9896563274147958,9.764642044744429
277Cn_up,277,112,11.31,0.00107,1.0,0,165.0,11.475714285714288,Ealpha_MeV converted by A/(A-4),-4.204326492404029,6.247028792297789e-05,0.00107,-2.9706162223147903,1.2337102700892384,17.12814260307629
277Cn_low,277,112,11.31,0.00043,1.0,0,165.0,11.475714285714288,Ealpha_MeV converted by A/(A-4),-4.204326492404029,6.247028792297789e-05,0.00043,-3.3665315444204134,0.8377949479836153,6.883272261049351
