Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,Ad,Zd,Ac_used,Zc_used,Qc_QiUDL_MeV,Q_source,coeff_set_QiUDL,chi_prime,rho_prime,log10T_Qi2009_UDL_s,T_Qi2009_UDL_s,Talpha_exp_s,HF_Qi2009_UDL,log10HF_Qi2009_UDL
271Ds,271,110,10.44,0.032,1.0,0,267,108,4,2,10.596404494382021,Ealpha_MeV converted by A/(A-4),alpha,131.72720225518984,82.66007027941448,-2.876548580720918,0.001328774910398709,0.032,24.082333094623348,1.3816985590408242
267Hs,267,108,9.73,0.803,1.0,0,263,106,4,2,9.877984790874526,Ealpha_MeV converted by A/(A-4),alpha,133.89178256993455,81.71692396724266,-1.5900563075999194,0.02570062544744247,0.803,31.244375808757155,1.4947718528786005
263Sg,263,106,9.31,4.1,1.0,0,259,104,4,2,9.453783783783784,Ealpha_MeV converted by A/(A-4),alpha,134.26490402036833,80.76754952034652,-1.0291071139416665,0.09351749951083024,4.1,43.84206187554426,1.641890970661402
277Cn,277,112,11.31,0.00061,1.0,0,273,110,4,2,11.475714285714288,Ealpha_MeV converted by A/(A-4),alpha,128.94492443685976,83.68393204648623,-4.448931321656726,3.5568756174518634e-05,0.00061,17.149882807456798,1.234261156667493
277Cn_up,277,112,11.31,0.00107,1.0,0,273,110,4,2,11.475714285714288,Ealpha_MeV converted by A/(A-4),alpha,128.94492443685976,83.68393204648623,-4.448931321656726,3.5568756174518634e-05,0.00107,30.08258131799799,1.4783150993419358
277Cn_low,277,112,11.31,0.00043,1.0,0,273,110,4,2,11.475714285714288,Ealpha_MeV converted by A/(A-4),alpha,128.94492443685976,83.68393204648623,-4.448931321656726,3.5568756174518634e-05,0.00043,12.089261651158072,1.0823997772363128
