Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N,Ad,Zd,Qalpha_MeV,x,Ks,y,z,N_interval,Z_interval,F_yz,log10_Tcalc_s,Tcalc_s,Br_alpha,Talpha_exp_s,HF,log10_HF
271Ds,271,110,10.44,0.032,1.0,0,161,267,108,10.596404494382021,0.33493915929876944,40.122474356331736,0.5862068965517241,0.84375,"(127,185]","(83,115]",0.9038077596518281,-4.697177613361768,2.0082713221578807e-05,1.0,0.032,1593.4101954718005,3.2023275916816742
267Hs,267,108,9.73,0.803,1.0,0,159,263,106,9.877984790874526,0.3168410870941687,42.98598927453143,0.5517241379310345,0.78125,"(127,185]","(83,115]",0.9181491775694857,-3.3054605170043025,0.0004949251039798835,1.0,0.803,1622.4677098469394,3.2101760622829834
263Sg,263,106,9.31,4.1,1.0,0,157,259,104,9.453783783783784,0.30780390324617696,44.244417332774944,0.5172413793103449,0.71875,"(127,185]","(83,115]",0.9312297997826248,-2.552320404982556,0.002803364665266273,1.0,4.1,1462.5282435778179,3.1651042617022913
277Cn,277,112,11.31,0.00061,1.0,0,165,273,110,11.475714285714288,0.35826218813361577,36.6633089570911,0.6551724137931034,0.90625,"(127,185]","(83,115]",0.8899006078236477,-6.276403825242729,5.291711694882657e-07,1.0,0.00061,1152.7460964849988,3.0617336602534966
277Cn_up,277,112,11.31,0.00107,1.0,0,165,273,110,11.475714285714288,0.35826218813361577,36.6633089570911,0.6551724137931034,0.90625,"(127,185]","(83,115]",0.8899006078236477,-6.276403825242729,5.291711694882657e-07,1.0,0.00107,2022.0300380966373,3.305787602927939
277Cn_low,277,112,11.31,0.00043,1.0,0,165,273,110,11.475714285714288,0.35826218813361577,36.6633089570911,0.6551724137931034,0.90625,"(127,185]","(83,115]",0.8899006078236477,-6.276403825242729,5.291711694882657e-07,1.0,0.00043,812.5915106369664,2.909872280822316
