273Ds_K,273Ds_宇称,273Ds_量子数,273Ds_Ex(MeV),269Hs_K,269Hs_宇称,269Hs_量子数,269Hs_Ex(MeV),Q值(MeV),Alpha动能(MeV)
4.5,-,734,1.846,4.5,+,615,1.011,11.342,11.1758
0.5,+,620,0.828,1.5,+,622,0.0,11.335,11.1689
1.5,+,622,0.817,1.5,+,622,0.0,11.324,11.1581
0.5,+,620,0.828,0.5,+,620,0.041,11.294,11.1285
4.5,+,615,1.171,6.5,-,716,0.385,11.293,11.1275
3.5,-,743,2.402,3.5,-,743,1.619,11.29,11.1246
3.5,+,613,1.167,6.5,-,716,0.385,11.289,11.1236
1.5,+,622,0.817,0.5,+,620,0.041,11.283,11.1177
1.5,-,761,2.389,3.5,-,743,1.619,11.277,11.1118
3.5,-,743,2.402,0.5,+,611,1.637,11.272,11.1068
0.5,-,770,2.384,3.5,-,743,1.619,11.272,11.1068
2.5,-,752,2.381,3.5,-,743,1.619,11.269,11.1039
3.5,-,743,2.402,0.5,-,741,1.642,11.267,11.1019
0.5,+,611,1.14,6.5,-,716,0.385,11.262,11.097
1.5,-,761,2.389,0.5,+,611,1.637,11.259,11.094
0.5,-,770,2.384,0.5,+,611,1.637,11.254,11.0891
1.5,-,761,2.389,0.5,-,741,1.642,11.254,11.0891
2.5,-,752,2.381,0.5,+,611,1.637,11.251,11.0862
0.5,+,620,0.828,3.5,+,613,0.085,11.25,11.0852
0.5,-,770,2.384,0.5,-,741,1.642,11.249,11.0842
5.5,+,606,1.127,6.5,-,716,0.385,11.249,11.0842
2.5,-,752,2.381,0.5,-,741,1.642,11.246,11.0812
1.5,+,622,0.817,3.5,+,613,0.085,11.239,11.0743
0.5,+,620,0.828,5.5,-,725,0.118,11.217,11.0526
3.5,-,743,2.402,1.5,-,741,1.702,11.207,11.0428
1.5,+,622,0.817,5.5,-,725,0.118,11.206,11.0418
1.5,-,761,2.389,1.5,-,741,1.702,11.194,11.03
4.5,-,734,1.846,1.5,+,611,1.163,11.19,11.026
0.5,-,770,2.384,1.5,-,741,1.702,11.189,11.0251
2.5,-,752,2.381,1.5,-,741,1.702,11.186,11.0221
4.5,-,734,1.846,5.5,+,606,1.181,11.172,11.0083
3.5,-,743,2.402,2.5,-,743,1.739,11.17,11.0063
0.5,+,620,0.828,0.5,+,631,0.171,11.164,11.0004
3.5,-,743,2.402,2.5,-,752,1.751,11.158,10.9945
3.5,-,743,2.402,0.5,-,501,1.751,11.158,10.9945
1.5,-,761,2.389,2.5,-,743,1.739,11.157,10.9935
1.5,+,622,0.817,0.5,+,631,0.171,11.153,10.9896
0.5,-,770,2.384,2.5,-,743,1.739,11.152,10.9886
2.5,-,752,2.381,2.5,-,743,1.739,11.149,10.9856
5.5,-,725,1.026,6.5,-,716,0.385,11.148,10.9847
1.5,-,761,2.389,0.5,-,501,1.751,11.145,10.9817
1.5,-,761,2.389,2.5,-,752,1.751,11.145,10.9817
0.5,-,770,2.384,2.5,-,752,1.751,11.14,10.9768
0.5,-,770,2.384,0.5,-,501,1.751,11.14,10.9768
2.5,-,752,2.381,0.5,-,501,1.751,11.137,10.9738
2.5,-,752,2.381,2.5,-,752,1.751,11.137,10.9738
2.5,+,613,0.628,1.5,+,622,0.0,11.135,10.9718
2.5,+,613,0.628,0.5,+,620,0.041,11.094,10.9315
3.5,-,743,2.402,1.5,-,761,1.825,11.084,10.9216
1.5,+,611,0.566,1.5,+,622,0.0,11.073,10.9108
1.5,-,761,2.389,1.5,-,761,1.825,11.071,10.9088
0.5,-,770,2.384,1.5,-,761,1.825,11.066,10.9039
2.5,-,752,2.381,1.5,-,761,1.825,11.063,10.9009
2.5,+,613,0.628,3.5,+,613,0.085,11.05,10.8881
4.5,+,604,0.53,1.5,+,622,0.0,11.037,10.8753
1.5,+,611,0.566,0.5,+,620,0.041,11.032,10.8704
2.5,+,613,0.628,5.5,-,725,0.118,11.017,10.8556
4.5,+,604,0.53,0.5,+,620,0.041,10.996,10.8349
1.5,+,611,0.566,3.5,+,613,0.085,10.988,10.827
2.5,+,613,0.628,0.5,+,631,0.171,10.964,10.8034
1.5,+,611,0.566,5.5,-,725,0.118,10.955,10.7945
4.5,+,604,0.53,3.5,+,613,0.085,10.952,10.7915
0.5,+,620,0.828,6.5,-,716,0.385,10.95,10.7896
1.5,+,622,0.817,6.5,-,716,0.385,10.939,10.7787
4.5,+,604,0.53,5.5,-,725,0.118,10.919,10.759
0.5,+,631,2.025,3.5,-,743,1.619,10.913,10.7531
1.5,+,611,0.566,0.5,+,631,0.171,10.902,10.7423
0.5,+,631,2.025,0.5,+,611,1.637,10.895,10.7354
0.5,+,631,2.025,0.5,-,741,1.642,10.89,10.7304
4.5,+,604,0.53,0.5,+,631,0.171,10.866,10.7068
0.5,+,631,2.025,1.5,-,741,1.702,10.83,10.6713
0.5,+,631,2.025,2.5,-,743,1.739,10.793,10.6349
0.5,+,631,2.025,0.5,-,501,1.751,10.781,10.623
0.5,+,631,2.025,2.5,-,752,1.751,10.781,10.623
2.5,+,613,0.628,6.5,-,716,0.385,10.75,10.5925
4.5,-,734,1.846,3.5,-,743,1.619,10.734,10.5767
4.5,-,734,1.846,0.5,+,611,1.637,10.716,10.559
4.5,-,734,1.846,0.5,-,741,1.642,10.711,10.5541
0.5,+,631,2.025,1.5,-,761,1.825,10.707,10.5501
4.5,+,615,1.171,4.5,+,604,0.983,10.695,10.5383
3.5,+,613,1.167,4.5,+,604,0.983,10.691,10.5344
4.5,+,615,1.171,2.5,+,613,0.987,10.691,10.5344
1.5,+,611,0.566,6.5,-,716,0.385,10.688,10.5314
