273Ds_初态_K,273Ds_初态_宇称,273Ds_初态_量子数,273Ds_初态_Ex(MeV),273Ds_末态_K,273Ds_末态_宇称,273Ds_末态_量子数,273Ds_末态_Ex(MeV),能级差_E(MeV)
1.5,+,622,0.817,1.5,+,611,0.566,0.251
5.5,-,725,1.026,1.5,+,622,0.817,0.209
0.5,+,620,0.828,2.5,+,613,0.628,0.2
5.5,-,725,1.026,0.5,+,620,0.828,0.198
1.5,+,622,0.817,2.5,+,613,0.628,0.189
0.5,+,631,2.025,4.5,-,734,1.846,0.179
4.5,+,615,1.171,5.5,-,725,1.026,0.145
3.5,+,613,1.167,5.5,-,725,1.026,0.141
0.5,+,611,1.14,5.5,-,725,1.026,0.114
5.5,+,606,1.127,5.5,-,725,1.026,0.101
2.5,+,613,0.628,4.5,+,604,0.53,0.098
2.5,+,613,0.628,1.5,+,611,0.566,0.062
4.5,+,615,1.171,5.5,+,606,1.127,0.044
3.5,+,613,1.167,5.5,+,606,1.127,0.04
1.5,+,611,0.566,4.5,+,604,0.53,0.036
4.5,+,615,1.171,0.5,+,611,1.14,0.031
3.5,+,613,1.167,0.5,+,611,1.14,0.027
3.5,-,743,2.402,2.5,-,752,2.381,0.021
3.5,-,743,2.402,0.5,-,770,2.384,0.018
3.5,-,743,2.402,1.5,-,761,2.389,0.013
0.5,+,611,1.14,5.5,+,606,1.127,0.013
0.5,+,620,0.828,1.5,+,622,0.817,0.011
1.5,-,761,2.389,2.5,-,752,2.381,0.008
1.5,-,761,2.389,0.5,-,770,2.384,0.005
4.5,+,615,1.171,3.5,+,613,1.167,0.004
0.5,-,770,2.384,2.5,-,752,2.381,0.003
