Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,log10T_calc,T_calc_s,HF
273Ds_a,273,110,10.858,0.03,1.0,5,-5.6005864109794,2.508497017585703e-06,11959.35246870392
273Ds_b,273,110,10.929,0.03,1.0,5,-5.748435771730321,1.784695909587367e-06,16809.586349607416
273Ds_c,273,110,11.165,0.00018,1.0,1,-6.228467091344914,5.909257412637387e-07,304.60680155015183
269Hs_a,269,108,9.13,8.5,1.0,0,-1.7243543431425294,0.01886451555313984,450.58140910410214
269Hs_b,269,108,8.95,8.5,1.0,0,-1.216797931900775,0.06070186969416852,140.02863573766615
