# ID	k	b	N	ok
186	4.347722	3.365470	33666	1
187	4.336939	2.181237	33635	1
188	4.313393	4.138416	33575	1
189	4.368381	7.513162	33330	1
190	4.269031	28.388446	33737	1
191	4.343781	-0.215009	33548	1
192	4.540225	16.110881	33210	1
193	4.623328	6.617542	33774	1
194	4.605216	8.287187	33858	1
195	4.516144	25.073840	34226	1
196	4.581845	20.026211	33661	1
197	4.614383	12.636507	33945	1
198	4.569386	21.818245	33811	1
199	4.548178	8.193933	33941	1
200	4.619502	8.307727	33739	1
201	4.540102	15.319365	33770	1
202	4.636847	3.523520	33888	1
203	4.577006	12.079031	33957	1
204	4.587809	25.548346	33815	1
205	4.600039	16.732963	33681	1
206	4.639161	13.096427	33502	1
207	4.619260	10.381341	33835	1
208	4.299878	6.713556	34001	1
209	4.322003	-3.940628	33203	1
210	4.324376	2.709132	33604	1
211	4.319459	12.873575	33520	1
212	4.446890	-20.821028	33360	1
213	4.314707	1.715932	33810	1
214	4.337730	1.488114	33378	1
215	4.285178	5.599500	33659	1
216	4.313473	-4.618878	33448	1
217	4.294086	0.239077	33364	1
218	4.348628	3.726545	33341	1
219	4.315891	-6.666787	33421	1
220	4.314147	6.043714	33617	1
221	4.334911	-9.728743	33327	1
222	4.354915	-8.636629	33187	1
223	4.858528	-273.167484	33736	1
