1747174101.0	68.69	4.98358e+18	2025-05-14 06:08:21
1747177710.0	68.97	5.09249e+18	2025-05-14 07:08:30
1747181320.0	69.33	5.20199e+18	2025-05-14 08:08:40
1747184930.0	63.38	5.30209e+18	2025-05-14 09:08:50
1747188539.0	69.70	5.41214e+18	2025-05-14 10:08:59
1747192148.0	70.38	5.52326e+18	2025-05-14 11:09:08
1747195757.0	70.36	5.63436e+18	2025-05-14 12:09:17
1747199367.0	70.16	5.74517e+18	2025-05-14 13:09:27
1747202976.0	69.92	5.85557e+18	2025-05-14 14:09:36
1747206585.0	69.59	5.96544e+18	2025-05-14 15:09:45
1747210195.0	69.88	6.07581e+18	2025-05-14 16:09:55
1747213804.0	69.54	6.18560e+18	2025-05-14 17:10:04
1747217413.0	68.79	6.29422e+18	2025-05-14 18:10:13
1747221023.0	69.16	6.40345e+18	2025-05-14 19:10:23
1747224632.0	69.09	6.51253e+18	2025-05-14 20:10:32
1747228235.0	69.78	6.62252e+18	2025-05-14 21:10:35
1747231844.0	69.27	6.73190e+18	2025-05-14 22:10:44
1747235453.0	69.61	6.84181e+18	2025-05-14 23:10:53
1747239063.0	69.45	6.95149e+18	2025-05-15 00:11:03
1747242672.0	69.15	7.06067e+18	2025-05-15 01:11:12
1747246281.0	69.96	7.17113e+18	2025-05-15 02:11:21
1747249891.0	69.88	7.28149e+18	2025-05-15 03:11:31
1747253500.0	70.15	7.39225e+18	2025-05-15 04:11:40
1747257110.0	70.32	7.50331e+18	2025-05-15 05:11:50
1747260719.0	70.48	7.61459e+18	2025-05-15 06:11:59
1747264329.0	67.47	7.72116e+18	2025-05-15 07:12:09
1747267938.0	70.29	7.83214e+18	2025-05-15 08:12:18
