Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l
273Ds_GSI_cal,273,110,10.929,0.0289,1.0,0
257Rf8286,257,104,8.286,4.37,0.022,0
257Rf8965,257,104,8.965,4.37,0.72,0
257Rf9023,257,104,9.023,4.37,0.058,0
257Rf8497,257,104,8.497,6.12,0.06,0
257Rf8785,257,104,8.785,6.12,0.40,0
259Sg9040,259,106,9.04,0.402,0.11,0
259Sg9614,259,106,9.614,0.402,0.89,0
259Sg9200,259,106,9.200,0.226,0.43,0
259Sg9550,259,106,9.550,0.226,0.54,0
259Sg9614,259,106,9.614,0.226,0.03,0
