name                 , method             , Ealpha, Texp    , Tcal                  , HF
269Hs_a              , DZR                ,  9.13 ,  9.6    , 6.25345092186605      ,     1.5351523694592821
269Hs_a_upper        , DZR                ,  9.13 , 14.05   , 6.25345092186605      ,     2.2467594573857204
269Hs_a_lower        , DZR                ,  9.13 ,  6.92   , 6.25345092186605      ,     1.1065889996518994
269Hs_b              , DZR                ,  8.95 ,  6.49   , 23.232149452648336    ,     0.27935426350574616
269Hs_b_upper        , DZR                ,  8.95 , 37.58   , 23.232149452648336    ,     1.617586012718943
269Hs_b_lower        , DZR                ,  8.95 ,  3.52   , 23.232149452648336    ,     0.1515141768166759
265Sga->261Rfa_upper , DZR                ,  8.84 , 11.1    , 9.869391052654725     ,     1.2359224731014344
265Sga->261Rfa_center, DZR                ,  8.84 ,  8.5    , 9.869391052654725     ,     0.9464271190416391
265Sga->261Rfa_lower , DZR                ,  8.84 ,  6.9    , 9.869391052654725     ,     0.7682761319279187
265Sga->261Rfb_upper , DZR                ,  8.84 , 11.1    , 9.869391052654725     ,    12.496549450247837
265Sga->261Rfb_center, DZR                ,  8.84 ,  8.5    , 9.869391052654725     ,     9.569429759198794
265Sga->261Rfb_lower , DZR                ,  8.84 ,  6.9    , 9.869391052654725     ,     7.768125333937846
265Sgb->261Rfa_upper , DZR                ,  8.69 , 18.1    , 30.37500046385655     ,     2.9794238228139833
265Sgb->261Rfa_center, DZR                ,  8.69 , 14.4    , 30.37500046385655     ,     2.370370334172451
265Sgb->261Rfa_lower , DZR                ,  8.69 , 11.9    , 30.37500046385655     ,     1.9588477067119558
265Sgb->261Rfb_upper , DZR                ,  8.69 , 18.1    , 30.37500046385655     ,     0.7448559557034958
265Sgb->261Rfb_center, DZR                ,  8.69 , 14.4    , 30.37500046385655     ,     0.5925925835431127
265Sgb->261Rfb_lower , DZR                ,  8.69 , 11.9    , 30.37500046385655     ,     0.48971192667798896
261Rfa->257No_upper  , DZR                ,  8.28 , 71.0    , 132.3482837606866     ,     0.5364633222474033
261Rfa->257No_center , DZR                ,  8.28 , 68.0    , 132.3482837606866     ,     0.5137958579270906
261Rfa->257No_lower  , DZR                ,  8.28 , 65.0    , 132.3482837606866     ,     0.49112839360677774
261Rfb->257No_upper  , DZR                ,  8.51 ,  3.3    , 21.785985488746984    ,     0.8415195788504938
261Rfb->257No_center , DZR                ,  8.51 ,  2.6    , 21.785985488746984    ,     0.6630154257609951
261Rfb->257No_lower  , DZR                ,  8.51 ,  2.1    , 21.785985488746984    ,     0.5355124592684961
257No->253Fm_1_upper , DZR                ,  8.222, 25.0    , 36.3484791628096      ,     0.8286586570182829
257No->253Fm_1_center, DZR                ,  8.222, 24.5    , 36.3484791628096      ,     0.8120854838779172
257No->253Fm_1_lower , DZR                ,  8.222, 24.0    , 36.3484791628096      ,     0.7955123107375516
257No->253Fm_2_upper , DZR                ,  8.323, 25.0    , 16.427715774978374    ,     8.951872892359276
257No->253Fm_2_center, DZR                ,  8.323, 24.5    , 16.427715774978374    ,     8.77283543451209
257No->253Fm_2_lower , DZR                ,  8.323, 24.0    , 16.427715774978374    ,     8.593797976664904
277Cn_l_upper        , Ismail2022_FormulaE, 11.11 ,  0.00107, 0.00047231778936670794,     2.265423882159245
277Cn_l_mean         , Ismail2022_FormulaE, 11.11 ,  0.00061, 0.00047231778936670794,     1.2915033346889153
277Cn_l_lower        , Ismail2022_FormulaE, 11.11 ,  0.00043, 0.00047231778936670794,     0.9104039900266124
277Cn_h_upper        , Ismail2022_FormulaE, 11.39 ,  0.00107, 0.00010309364162050137,    10.378913608841014
277Cn_h_mean         , Ismail2022_FormulaE, 11.39 ,  0.00061, 0.00010309364162050137,     5.916950748965437
277Cn_h_lower        , Ismail2022_FormulaE, 11.39 ,  0.00043, 0.00010309364162050137,     4.170965282057604
273Ds_a              , Ismail2022_FormulaE, 10.858,  0.00576, 0.0004771224242798615 ,    12.07237326707874
273Ds_a_upper        , Ismail2022_FormulaE, 10.858,  0.03339, 0.0004771224242798615 ,    69.98203878259707
273Ds_a_lower        , Ismail2022_FormulaE, 10.858,  0.00313, 0.0004771224242798615 ,     6.560161167700773
273Ds_b              , Ismail2022_FormulaE, 10.894,  0.017  , 0.00038983012860722933,    43.608738146374094
273Ds_b_upper        , Ismail2022_FormulaE, 10.894,  0.049  , 0.00038983012860722933,   125.69577465719591
273Ds_b_lower        , Ismail2022_FormulaE, 10.894,  0.01   , 0.00038983012860722933,    25.65219890963182
273Ds_c              , Ismail2022_FormulaE, 11.165,  0.00016, 8.789457117213587e-05 ,     1.820362712580397
273Ds_c_upper        , Ismail2022_FormulaE, 11.165,  0.00024, 8.789457117213587e-05 ,     2.730544068870595
273Ds_c_lower        , Ismail2022_FormulaE, 11.165,  0.00011, 8.789457117213587e-05 ,     1.251499364899023
269Hs_a              , Ismail2022_FormulaE,  9.13 ,  9.6    , 6.0854368962694005    ,     1.577536693525679
269Hs_a_upper        , Ismail2022_FormulaE,  9.13 , 14.05   , 6.0854368962694005    ,     2.308790681670395
269Hs_a_lower        , Ismail2022_FormulaE,  9.13 ,  6.92   , 6.0854368962694005    ,     1.1371410332497602
269Hs_b              , Ismail2022_FormulaE,  8.95 ,  6.49   , 22.516108257009563    ,     0.28823808830194164
269Hs_b_upper        , Ismail2022_FormulaE,  8.95 , 37.58   , 22.516108257009563    ,     1.6690273279486851
269Hs_b_lower        , Ismail2022_FormulaE,  8.95 ,  3.52   , 22.516108257009563    ,     0.1563325224688497
265Sga->261Rfa_upper , Ismail2022_FormulaE,  8.84 , 11.1    , 9.895925617442154     ,     1.2326085168125
265Sga->261Rfa_center, Ismail2022_FormulaE,  8.84 ,  8.5    , 9.895925617442154     ,     0.943889404766329
265Sga->261Rfa_lower , Ismail2022_FormulaE,  8.84 ,  6.9    , 9.895925617442154     ,     0.7662161050456081
265Sga->261Rfb_upper , Ismail2022_FormulaE,  8.84 , 11.1    , 9.895925617442154     ,    12.463041669993055
265Sga->261Rfb_center, Ismail2022_FormulaE,  8.84 ,  8.5    , 9.895925617442154     ,     9.543770648192881
265Sga->261Rfb_lower , Ismail2022_FormulaE,  8.84 ,  6.9    , 9.895925617442154     ,     7.747296173238928
265Sgb->261Rfa_upper , Ismail2022_FormulaE,  8.69 , 18.1    , 30.33466143952748     ,     2.9833858597833
265Sgb->261Rfa_center, Ismail2022_FormulaE,  8.69 , 14.4    , 30.33466143952748     ,     2.3735224519822937
265Sgb->261Rfa_lower , Ismail2022_FormulaE,  8.69 , 11.9    , 30.33466143952748     ,     1.9614525818464787
265Sgb->261Rfb_upper , Ismail2022_FormulaE,  8.69 , 18.1    , 30.33466143952748     ,     0.745846464945825
265Sgb->261Rfb_center, Ismail2022_FormulaE,  8.69 , 14.4    , 30.33466143952748     ,     0.5933806129955734
265Sgb->261Rfb_lower , Ismail2022_FormulaE,  8.69 , 11.9    , 30.33466143952748     ,     0.4903631454616197
261Rfa->257No_upper  , Ismail2022_FormulaE,  8.28 , 71.0    , 135.75195626496526    ,     0.5230127207995426
261Rfa->257No_center , Ismail2022_FormulaE,  8.28 , 68.0    , 135.75195626496526    ,     0.5009135917516746
261Rfa->257No_lower  , Ismail2022_FormulaE,  8.28 , 65.0    , 135.75195626496526    ,     0.4788144627038067
261Rfb->257No_upper  , Ismail2022_FormulaE,  8.51 ,  3.3    , 22.510389817240544    ,     0.8144387317225384
261Rfb->257No_center , Ismail2022_FormulaE,  8.51 ,  2.6    , 22.510389817240544    ,     0.641679000751091
261Rfb->257No_lower  , Ismail2022_FormulaE,  8.51 ,  2.1    , 22.510389817240544    ,     0.5182791929143428
257No->253Fm_1_upper , Ismail2022_FormulaE,  8.222, 25.0    , 38.79536614045735     ,     0.7763938048338204
257No->253Fm_1_center, Ismail2022_FormulaE,  8.222, 24.5    , 38.79536614045735     ,     0.760865928737144
257No->253Fm_1_lower , Ismail2022_FormulaE,  8.222, 24.0    , 38.79536614045735     ,     0.7453380526404676
257No->253Fm_2_upper , Ismail2022_FormulaE,  8.323, 25.0    , 17.597192906599425    ,     8.356947855828796
257No->253Fm_2_center, Ismail2022_FormulaE,  8.323, 24.5    , 17.597192906599425    ,     8.189808898712219
257No->253Fm_2_lower , Ismail2022_FormulaE,  8.323, 24.0    , 17.597192906599425    ,     8.022669941595643
277Cn_l_upper        , E. Rurarz          , 11.11 ,  0.00107, 0.00022013666734242468,     4.860616874587298
277Cn_l_mean         , E. Rurarz          , 11.11 ,  0.00061, 0.00022013666734242468,     2.7710058817740673
277Cn_l_lower        , E. Rurarz          , 11.11 ,  0.00043, 0.00022013666734242468,     1.9533320150210638
277Cn_h_upper        , E. Rurarz          , 11.39 ,  0.00107, 5.054147793563838e-05 ,    21.170730332868036
277Cn_h_mean         , E. Rurarz          , 11.39 ,  0.00061, 5.054147793563838e-05 ,    12.069294862663085
277Cn_h_lower        , E. Rurarz          , 11.39 ,  0.00043, 5.054147793563838e-05 ,     8.507863591713322
273Ds_a              , E. Rurarz          , 10.858,  0.00576, 0.00021247244098756855,    27.109398156427307
273Ds_a_upper        , E. Rurarz          , 10.858,  0.03339, 0.00021247244098756855,   157.14979243803955
273Ds_a_lower        , E. Rurarz          , 10.858,  0.00313, 0.00021247244098756855,    14.731322262086366
273Ds_b              , E. Rurarz          , 10.894,  0.017  , 0.00017473203162026967,    97.29183505943925
273Ds_b_upper        , E. Rurarz          , 10.894,  0.049  , 0.00017473203162026967,   280.4294069360308
273Ds_b_lower        , E. Rurarz          , 10.894,  0.01   , 0.00017473203162026967,    57.23049121143485
273Ds_c              , E. Rurarz          , 11.165,  0.00016, 4.148419351165856e-05 ,     3.8568906963331524
273Ds_c_upper        , E. Rurarz          , 11.165,  0.00024, 4.148419351165856e-05 ,     5.785336044499728
273Ds_c_lower        , E. Rurarz          , 11.165,  0.00011, 4.148419351165856e-05 ,     2.651612353729042
269Hs_a              , E. Rurarz          ,  9.13 ,  9.6    , 2.1266853730908375    ,     4.514066876779123
269Hs_a_upper        , E. Rurarz          ,  9.13 , 14.05   , 2.1266853730908375    ,     6.606524960286112
269Hs_a_lower        , E. Rurarz          ,  9.13 ,  6.92   , 2.1266853730908375    ,     3.2538898736782844
269Hs_b              , E. Rurarz          ,  8.95 ,  6.49   , 7.778436619321879     ,     0.8343578944744034
269Hs_b_upper        , E. Rurarz          ,  8.95 , 37.58   , 7.778436619321879     ,     4.831305034568271
269Hs_b_lower        , E. Rurarz          ,  8.95 ,  3.52   , 7.778436619321879     ,     0.452533095308151
265Sga->261Rfa_upper , E. Rurarz          ,  8.84 , 11.1    , 3.2556025688171193    ,     3.7467110742064897
265Sga->261Rfa_center, E. Rurarz          ,  8.84 ,  8.5    , 3.2556025688171193    ,     2.869103074842808
265Sga->261Rfa_lower , E. Rurarz          ,  8.84 ,  6.9    , 3.2556025688171193    ,     2.3290366136959264
265Sga->261Rfb_upper , E. Rurarz          ,  8.84 , 11.1    , 3.2556025688171193    ,    37.883411972532286
265Sga->261Rfb_center, E. Rurarz          ,  8.84 ,  8.5    , 3.2556025688171193    ,    29.009819978966167
265Sga->261Rfb_lower , E. Rurarz          ,  8.84 ,  6.9    , 3.2556025688171193    ,    23.54914798292548
265Sgb->261Rfa_upper , E. Rurarz          ,  8.69 , 18.1    , 9.877227889779055     ,     9.162489821020461
265Sgb->261Rfa_center, E. Rurarz          ,  8.69 , 14.4    , 9.877227889779055     ,     7.289494664237273
265Sgb->261Rfa_lower , E. Rurarz          ,  8.69 , 11.9    , 9.877227889779055     ,     6.023957396140524
265Sgb->261Rfb_upper , E. Rurarz          ,  8.69 , 18.1    , 9.877227889779055     ,     2.2906224552551153
265Sgb->261Rfb_center, E. Rurarz          ,  8.69 , 14.4    , 9.877227889779055     ,     1.8223736660593182
265Sgb->261Rfb_lower , E. Rurarz          ,  8.69 , 11.9    , 9.877227889779055     ,     1.505989349035131
261Rfa->257No_upper  , E. Rurarz          ,  8.28 , 71.0    , 41.26547966109629     ,     1.7205664536825054
261Rfa->257No_center , E. Rurarz          ,  8.28 , 68.0    , 41.26547966109629     ,     1.647866462681836
261Rfa->257No_lower  , E. Rurarz          ,  8.28 , 65.0    , 41.26547966109629     ,     1.5751664716811669
261Rfb->257No_upper  , E. Rurarz          ,  8.51 ,  3.3    , 6.943844105810792     ,     2.6402282444664213
261Rfb->257No_center , E. Rurarz          ,  8.51 ,  2.6    , 6.943844105810792     ,     2.0801798289735443
261Rfb->257No_lower  , E. Rurarz          ,  8.51 ,  2.1    , 6.943844105810792     ,     1.680145246478632
