record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,method,method_slug,Qalpha_MeV,Ealpha_MeV,Qalpha_err_MeV,qalpha_estimated,Qalpha_qualifier,Talpha_partial_exp_s,Talpha_err_plus_s,Talpha_err_minus_s,Talpha_qualifier,decay_modes_raw,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,log10_Tcalc_s,Tcalc_s,log10_HF,HF,l_used,l_assumed,calculation_status,model_status,diagnostics_json,cell_record_index,cell_record_count,HF_definition,Qalpha_source_column,Talpha_source_column
source-row-0015,15,253Es,,Es,253,99,154,Poenaru,poenaru,6.73924,,5e-05,False,,1768608,1728,1728,,"alpha, EC; beta^-, SF",100,,,,5.01321487754,103089.605466,1.2344167076,17.1560264685,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.23280018586346923}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0016,16,254Es,,Es,254,99,155,Poenaru,poenaru,6.6172,,0.0005,False,,23820480,43200,43200,,"alpha,; beta^-, SF; beta^-, SF",100,3e-06,,,5.55574891127,359541.405056,1.82120159731,66.2523972623,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2288284608297969}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0017,17,255Es,,Es,255,99,156,Poenaru,poenaru,6.4363,,0.0013,False,,42984000,2509716.44613,2509716.44613,,"beta^-, alpha, SF",8,0.0041,,,6.39028001015,2456292.09267,1.24302681741,17.4995474391,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.22280950281221926}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0020,20,241Fm,,Fm,241,100,141,Poenaru,poenaru,8.86,,0.32,True,,0.00521428571429,0.000428571428571,0.000428571428571,>,"alpha, EC, SF",14,78,,,-2.09657120361,0.0080062435348,-0.186233971946,0.651277430123,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2989865252453635}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0022,22,243Fm,,Fm,243,100,143,Poenaru,poenaru,8.69,,0.05,False,,0.253846153846,0.00989010989011,0.00989010989011,,"alpha, EC, SF",91,9,,,-1.62549840441,0.0236865383417,1.03006899198,10.7168954021,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.29390442166549}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0023,23,244Fm,,Fm,244,100,144,Poenaru,poenaru,8.55,,0.2,True,,0.321,0.008,0.008,>,"alpha, EC, SF",1,97,,,-1.22012944063,0.0602380021115,0.726634473036,5.32886199323,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28949019153852257}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0024,24,245Fm,,Fm,245,100,145,Poenaru,poenaru,8.373,,0.025,False,,5.4,0.6,0.6,,"alpha, EC, SF",100,0.3,,,-0.689122543416,0.204586727977,1.42151630324,26.3946740504,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28381043502587466}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0025,25,246Fm,,Fm,246,100,146,Poenaru,poenaru,8.379,,0.005,False,,1.6452991453,0.042735042735,0.042735042735,,"alpha, SF, EC",93.6,6.4,,,-0.712996834145,0.193643607984,0.929241706243,8.49653217284,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2843263674246899}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0026,26,247Fm,,Fm,247,100,147,Poenaru,poenaru,8.258,,0.01,False,,48.4375,1.5625,1.5625,,"alpha, EC",64,,,,-0.340239115979,0.456836593034,2.02542083583,106.028065042,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28052764492318394}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0027,27,248Fm,,Fm,248,100,148,Poenaru,poenaru,7.995,,0.008,False,,34.8484848485,1.21212121212,1.21212121212,approx,"alpha, EC, SF",99,0.1,,,0.508600422111,3.22552507272,1.03358347837,10.8039727061,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.27189002466353257}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
