record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,Qalpha_MeV,Ealpha_MeV,T_alpha_half_s,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,Qalpha_estimated,Qalpha_is_experimental,T_alpha_half_qualifier,cell_record_index,cell_record_count,Tcalc_s__poenaru,log10_Tcalc_s__poenaru,HF__poenaru,log10_HF__poenaru,Tcalc_s__dzr,log10_Tcalc_s__dzr,HF__dzr,log10_HF__dzr,Tcalc_s__ismail2022_formula_e,log10_Tcalc_s__ismail2022_formula_e,HF__ismail2022_formula_e,log10_HF__ismail2022_formula_e,Tcalc_s__qi2009_udl,log10_Tcalc_s__qi2009_udl,HF__qi2009_udl,log10_HF__qi2009_udl,Tcalc_s__viola_seaborg,log10_Tcalc_s__viola_seaborg,HF__viola_seaborg,log10_HF__viola_seaborg,Tcalc_s__xu2022_unified,log10_Tcalc_s__xu2022_unified,HF__xu2022_unified,log10_HF__xu2022_unified,Tcalc_s__e_rurarz,log10_Tcalc_s__e_rurarz,HF__e_rurarz,log10_HF__e_rurarz
source-row-0002,2,240Es,,Es,240,99,141,8.26,,8.57142857143,70,,,,False,True,,1,1,0.273432436707,-0.563149967284,31.3475192434,1.49620317765,21.3843806835,1.3300966771,0.400826598548,-0.397043466734,19.8742083077,1.29828983748,0.431284025945,-0.365236627113,2.76487245177,0.441675101365,3.10011717392,0.491378109004,2.84966020902,0.454793078204,3.00787741089,0.478260132166,4.55185271097,0.658188200696,1.88306369201,0.274865009673,1.95099079146,0.29025521956,4.3933721312,0.64279799081
source-row-0003,3,241Es,,Es,241,99,142,8.259,,4.3,100,,,,False,True,,1,1,0.271064901081,-0.566926713529,15.8633595971,1.20039516911,7.02573920311,0.846692024654,0.612035242939,-0.213223569074,12.5904977112,1.10004289841,0.341527404128,-0.466574442834,2.67361513945,0.427098891765,1.60830926507,0.206369563814,2.87123535398,0.458068792895,1.4976132117,0.175399662685,2.76565731617,0.441798367054,1.55478409233,0.191670088526,1.93142133945,0.28587702543,2.22633969718,0.34759143015
source-row-0004,4,242Es,,Es,242,99,143,8.16,,31.2280701754,57,,,,False,True,,1,1,0.549141156904,-0.260316005668,56.867109272,1.7548611523,42.5931009066,1.62933925918,0.733172028116,-0.13479411254,41.820295726,1.62138709954,0.746720453151,-0.126841952905,5.47580526862,0.738447995293,5.70291831859,0.756097151343,6.1001312149,0.785339176862,5.11924564822,0.709205969774,8.94319011145,0.951492462942,3.49182671801,0.543052683694,4.02884570397,0.605180635172,7.75112090907,0.889364511464
source-row-0005,5,243Es,,Es,243,99,144,8.072,,36.0655737705,61,1,,,False,True,,1,1,1.0407786139,0.0173583596853,34.6524931325,1.53973448613,27.8762592965,1.44523449554,1.29377379464,0.111858350269,50.0591840474,1.69948376643,0.720458682194,-0.142390920623,10.4320379875,1.01836915984,3.45719348547,0.53872368597,12.0583092693,1.08128641838,2.99093122968,0.475806427436,10.63685563,1.02681326477,3.39062360391,0.530279581043,7.83933596287,0.894279276986,4.60059039966,0.662813568825
source-row-0006,6,244Es,,Es,244,99,145,7.94,,925,4,,,,True,False,,1,1,2.79958527286,0.447093700253,330.406081561,2.51904803249,227.325626334,2.35664839634,4.06905290405,0.609493336397,240.296220695,2.38074694041,3.84941551442,0.585394792331,28.6055653251,1.45645053505,32.3363649516,1.50969119769,34.2293430641,1.53439856416,27.0235978022,1.43174316858,46.0296242189,1.66303742937,20.095753891,1.30310430337,21.9747375978,1.34192369783,42.0937904665,1.62421803491
source-row-0007,7,245Es,,Es,245,99,146,7.909,,124.444444444,54,,,,False,True,,1,1,3.51697456645,0.54616922766,35.3839477918,1.54880628557,95.633881081,1.98061178098,1.30125895799,0.114363732255,172.028665619,2.23560082065,0.723393650684,-0.140625307414,35.2797934681,1.54752603406,3.5273575101,0.547449479173,43.8988111451,1.64245275896,2.83480215519,0.452522754267,35.6010945853,1.55146335092,3.49552298585,0.543512162307,27.843177074,1.44471878938,4.46947717617,0.650256723852
source-row-0008,8,246Es,,Es,246,99,147,7.64,,4545.45454545,9.9,,,,True,False,,1,1,29.6957908873,1.47269489632,153.067300437,2.18488242286,2603.04521573,3.41548171201,1.74620652688,0.242095607169,3005.30900902,3.47788913325,1.51247493413,0.17968818593,316.783241766,2.5007621988,14.3487847404,1.15681512038,405.068802822,2.60752879642,11.2214382193,1.05004852276,503.084267257,2.70164073603,9.03517530023,0.955936583149,257.24157815,2.41034116527,17.6699839044,1.24723615391
source-row-0009,9,247Es,,Es,247,99,148,7.464,,3900,7,,,,False,True,,1,1,128.118195374,2.10761081272,30.4406410707,1.48345379431,4010.74318664,3.6032248544,0.972388362583,-0.0121602473774,7785.65091671,3.89129492747,0.500921508262,-0.300230320439,1401.80154152,3.14668653323,2.78213419266,0.444378073797,1849.25194606,3.2669960844,2.10896087378,0.324068522623,1393.9996911,3.14426267753,2.79770506758,0.446801929501,1179.8404257,3.07182327263,3.30553176094,0.519241334401
source-row-0010,10,248Es,,Es,248,99,149,7.16,,480000,0.3,,,,True,False,,1,1,1849.37839167,3.26702577898,259.546668308,2.41421545839,187978.858605,5.27410900827,2.55347863883,0.407132229109,246201.424803,5.39129056193,1.94962316073,0.289950675449,21492.8918484,4.33229485334,22.3329649349,1.34894638404,29029.3151062,4.46283678957,16.5350094635,1.21840444781,34108.6177739,4.53286412031,14.0726898751,1.14837711707,19061.8001421,4.28016391177,25.1812523697,1.4010773256
source-row-0011,11,249Es,,Es,249,99,150,6.94,,1075789.47368,0.57,,,,True,False,,1,1,14361.9724754,4.15721409007,74.9054125768,1.87451320044,527413.802412,5.72215149109,2.0397446346,0.309575799423,1145594.84892,6.0590310522,0.939066262998,-0.0273037616858,171587.667352,5.23448607026,6.26962001575,0.797241220246,238137.35857,5.3768275321,4.5175166137,0.654899758406,172615.64707,5.2370801606,6.2322824839,0.794647129905,161325.330126,5.20770256249,6.6684473718,0.824024728017
